"CN","PLT_CN","INVYR","STATECD","COUNTYCD","PLOT","SMPLNNBR","VSTNBR","LAYER_TYPE","SAMPLER_TYPE","QASTATCD","SAMPLE_DATE","LAB_ID","SAMPLE_ID","FIELD_MOIST_SOIL_WT","AIR_DRY_SOIL_WT","OVEN_DRY_SOIL_WT","FIELD_MOIST_WATER_CONTENT_PCT","RESIDUAL_WATER_CONTENT_PCT","TOTAL_WATER_CONTENT_PCT","BULK_DENSITY","COARSE_FRACTION_PCT","C_ORG_PCT","C_INORG_PCT","C_TOTAL_PCT","N_TOTAL_PCT","PH_H2O","PH_CACL2","EXCHNG_NA","EXCHNG_K","EXCHNG_MG","EXCHNG_CA","EXCHNG_AL","ECEC","EXCHNG_MN","EXCHNG_FE","EXCHNG_NI","EXCHNG_CU","EXCHNG_ZN","EXCHNG_CD","EXCHNG_PB","EXCHNG_S","BRAY1_P","OLSEN_P","MEASYEAR","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE"
"237624741010854","20256107010478",2004,12,1,38,2,1,"FF_TOTAL","SF",1,2003-06-16,"UMO","",216.09,123.57,113.99,74.87,8.4,89.57,.41,,48.9,,,.71,,,,,,,,,,,,,,,,,,,2003,"",2018-02-23,"126144","",2010-09-09,"10854"
"237624697010854","20256107010478",2004,12,1,38,2,1,"MIN_1","BD",1,2003-06-16,"UMO","",153.13,123.07,120.6,24.43,2,26.97,.67,.1,5.61,,,.14,4.17,3.5,11,20,51,687,76,4.8,9.9,7.1,0,0,.3,.1,1.6,8.9,8.8,,2003,"",2018-02-23,"126144","",2010-09-09,"10854"
"237624721010854","20256107010478",2004,12,1,38,2,1,"MIN_2","BD",1,2003-06-16,"UMO","",296.22,272.95,270.37,8.53,1,9.56,1.49,.8,.7,,,.04,5.04,4.27,0,0,2,38,31,.55,5.4,2.5,0,0,0,0,.6,2.2,6,,2003,"",2018-02-23,"126144","",2010-09-09,"10854"
"237624648010854","20256107010478",2004,12,1,38,3,1,"FF_TOTAL","SF",1,2003-06-16,"UMO","",317.8,156.26,145.17,103.38,7.6,118.92,.448,,47.5,,,.86,,,,,,,,,,,,,,,,,,,2003,"",2018-02-23,"126144","",2010-09-09,"10854"
"237624649010854","20256107010478",2004,12,1,38,4,1,"FF_TOTAL","SF",1,2003-06-16,"UMO","",493.74,255.49,232.8,93.25,9.7,112.09,.628,,43.4,,,.92,,,,,,,,,,,,,,,,,,,2003,"",2018-02-23,"126144","",2010-09-09,"10854"
"237624749010854","20257547010478",2004,12,5,3,2,1,"FF_TOTAL","SF",1,2003-06-23,"UMO","",290.75,154.79,142.99,87.84,8.3,103.34,.617,,27.4,,,.45,,,,,,,,,,,,,,,,,,,2003,"",2018-02-23,"126144","",2010-09-09,"10854"
"237624709010854","20257547010478",2004,12,5,3,2,1,"MIN_1","O",1,2003-06-23,"UMO","",245.34,220.91,219.63,11.06,.6,11.71,,.7,.84,,,.02,4.6,3.89,9,4,6,38,45,.79,2.1,5.2,1.2,.2,.3,.1,.4,6.9,44.6,,2003,"",2018-02-23,"126144","",2010-09-09,"10854"
"237624732010854","20257547010478",2004,12,5,3,2,1,"MIN_2","O",1,2003-06-23,"UMO","",297.07,276.57,275.71,7.41,.3,7.75,,0,.38,,,0,4.97,4.37,5,0,2,10,29,.41,.9,2,.2,.1,.1,.2,0,2.3,55.2,,2003,"",2018-02-23,"126144","",2010-09-09,"10854"
"237624677010854","20257683010478",2004,12,5,23,3,1,"FF_TOTAL","SF",1,2003-06-24,"UMO","",1426.71,745.83,695.41,91.29,7.3,105.16,.484,,39.1,,,.48,,,,,,,,,,,,,,,,,,,2003,"",2018-02-23,"126144","",2010-09-09,"10854"
"237624678010854","20259336010478",2004,12,13,4,2,1,"FF_TOTAL","SF",1,2003-06-19,"UMO","",104.73,54.21,51.29,93.19,5.7,104.19,.184,,35.8,,,.54,,,,,,,,,,,,,,,,,,,2003,"",2018-02-23,"126144","",2010-09-09,"10854"
"237624708010854","20259336010478",2004,12,13,4,2,1,"MIN_1","O",1,2003-06-19,"UMO","",307.2,254.37,253.08,20.77,.5,21.38,,2.7,1.29,,,.04,4.45,3.85,7,4,5,14,61,.83,.3,6.5,.4,0,.1,0,.5,3.5,4.7,,2003,"",2018-02-23,"126144","",2010-09-09,"10854"
"237624731010854","20259336010478",2004,12,13,4,2,1,"MIN_2","O",1,2003-06-19,"UMO","",301.4,235.86,234.45,27.79,.6,28.56,,.8,1.34,,,.03,4.47,3.9,9,8,5,18,67,.93,1,8,.5,.2,.2,.6,.8,5.8,3.5,,2003,"",2018-02-23,"126144","",2010-09-09,"10854"
"237624679010854","20259336010478",2004,12,13,4,3,1,"FF_TOTAL","SF",1,2003-06-19,"UMO","",148.12,62.65,56.99,136.42,9.9,159.91,.307,,43.2,,,.53,,,,,,,,,,,,,,,,,,,2003,"",2018-02-23,"126144","",2010-09-09,"10854"
"237624738010854","20260044010478",2004,12,17,18,2,1,"FF_TOTAL","SF",1,2003-06-23,"UMO","",1130.2,493.03,445.8,129.24,10.6,153.52,1.375,,41.5,,,.66,,,,,,,,,,,,,,,,,,,2003,"",2018-02-23,"126144","",2010-09-09,"10854"
"237624694010854","20260044010478",2004,12,17,18,2,1,"MIN_1","BD",1,2003-06-23,"UMO","",223.34,201.57,200.01,10.8,.8,11.66,1.11,.9,.76,,,0,4.64,4.05,11,0,7,20,54,.81,.4,7.4,0,.1,.1,0,0,6.9,22.7,,2003,"",2018-02-23,"126144","",2010-09-09,"10854"
