"CN","PLT_CN","PREV_SIT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","CONDID","TREE","SPCD","DIA","HT","AGEDIA","SPGRPCD","SITREE","SIBASE","SUBP","AZIMUTH","DIST","METHOD","SITREE_EST","VALIDCD","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","CYCLE","SUBCYCLE","AGECHKCD_RMRS","AGE_DETERMINATION_METHOD_PNWRS","CCLCD_RMRS","DAMAGE_AGENT_CD1_RMRS","DAMAGE_AGENT_CD2_RMRS","DAMAGE_AGENT_CD3_RMRS","SIBASE_AGE_PNWRS","SITETRCD_RMRS","SITE_AGE_TREE_STATUS_PNWRS","SITE_AGE_TREE_TYPE_PNWRS","SITE_TREE_METHOD_PNWRS","SITREE_EQU_NO_PNWRS","TREECLCD_RMRS","TREE_ACT_RMRS","YEAR_AGE_TAKEN","SIEQN_REF_CD","SITREE_FVS","SIBASE_FVS","SIEQN_REF_CD_FVS"
"238982762010854","216092785010854","",1997,13,1,267,148,1,1,131,11.6,60,14,2,108,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982766010854","216092787010854","",1997,13,3,269,55,2,1,611,12.5,95,38,34,102,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982802010854","216092796010854","",1997,13,2,275,156,1,1,111,15.1,105,33,1,113,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982812010854","216092798010854","",1997,13,2,275,167,2,1,110,10.6,70,25,2,93,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982835010854","216092807010854","",1997,13,1,279,112,2,1,131,6.7,53,32,2,60,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982838010854","216092809010854","",1997,13,5,281,49,2,1,837,16,62,102,28,48,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982844010854","216092811010854","",1997,13,5,281,53,1,1,621,11.4,83,50,39,82,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982849010854","216092814010854","",1997,13,4,285,105,1,1,131,10.9,71,50,2,70,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982887010854","216092827010854","",1997,13,3,293,96,1,1,131,8.3,53,25,2,67,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982888010854","216092827010854","",1997,13,3,293,96,2,2,131,10,54,25,2,68,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982919010854","216092832010854","",1997,13,1,299,251,2,1,131,9.7,61,21,2,84,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982926010854","216092834010854","",1997,13,1,299,260,1,1,128,13.2,58,62,3,54,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982941010854","216092843010854","",1997,13,1,299,298,1,1,111,9.1,57,23,1,73,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982958010854","216092846010854","",1997,13,3,303,155,1,1,131,12.7,69,61,2,65,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982974010854","216092855010854","",1997,13,3,307,84,2,1,131,8.5,40,19,2,59,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238983024010854","216092866010854","",1997,13,3,317,136,1,1,131,19.5,99,55,2,95,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238983044010854","216092868010854","",1997,13,3,319,120,1,1,131,10.6,60,21,2,83,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238983060010854","216092870010854","",1997,13,2,321,129,3,1,131,11.7,77,28,2,93,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238983082010854","216092877010854","",1997,13,2,321,172,2,1,111,15.3,76,36,1,81,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238983083010854","216092879010854","",1997,13,2,321,175,1,1,111,12.3,78,25,1,93,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982555010854","56567026010478","",1997,13,3,225,4,1,1,131,8,34,12,2,69,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982557010854","56568634010478","",1997,13,5,227,14,2,1,131,12,86,43,2,88,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
