field_1,CN,PLT_CN,PREV_SIT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,CONDID,TREE,SPCD,DIA,HT,AGEDIA,SPGRPCD,SITREE,SIBASE,SUBP,AZIMUTH,DIST,METHOD,SITREE_EST,VALIDCD,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,CYCLE,SUBCYCLE,AGECHKCD_RMRS,AGE_DETERMINATION_METHOD_PNWRS,CCLCD_RMRS,DAMAGE_AGENT_CD1_RMRS,DAMAGE_AGENT_CD2_RMRS,DAMAGE_AGENT_CD3_RMRS,SIBASE_AGE_PNWRS,SITETRCD_RMRS,SITE_AGE_TREE_STATUS_PNWRS,SITE_AGE_TREE_TYPE_PNWRS,SITE_TREE_METHOD_PNWRS,SITREE_EQU_NO_PNWRS,TREECLCD_RMRS,TREE_ACT_RMRS,YEAR_AGE_TAKEN,SIEQN_REF_CD,SITREE_FVS,SIBASE_FVS,SIEQN_REF_CD_FVS,LAT,LON,rvalue_1
"3","238982802010854","216092796010854",NA,"1997","13","2","275","156","1","1","111",15.1,"105","33","1","113","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.99195,-83.771885,19.2350521087646
"13","238982941010854","216092843010854",NA,"1997","13","1","299","298","1","1","111",9.1,"57","23","1","73","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.361284,-82.419326,19.2377605438232
"19","238983082010854","216092877010854",NA,"1997","13","2","321","172","2","1","111",15.3,"76","36","1","81","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.416927,-83.750908,18.8228950500488
"20","238983083010854","216092879010854",NA,"1997","13","2","321","175","1","1","111",12.3,"78","25","1","93","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.47553,-83.775259,18.8228950500488
"23","238982558010854","56569305010478",NA,"1997","13","1","229","28","1","1","111",10.7,"86","42","1","88","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.475066,-82.216779,19.2737808227539
"50","422910226489998","282502541489998",NA,"2015","13","2","17","22","1","1","111",10.8,"69","21","1","88","50","1","83","22.7","1",NA,"1",NA,2016-07-28,"489998",NA,2017-03-07,"489998","11","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.767993,-83.420658,18.6903018951416
"51","422910227489998","282502541489998",NA,"2015","13","2","17","22","2","1","111",10.8,"69","21","1","88","50","1","83","22.7","1",NA,"1",NA,2016-07-28,"489998",NA,2017-03-07,"489998","11","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.767993,-83.420658,18.6903018951416
"52","422910301489998","282502542489998",NA,"2015","13","2","155","7","2","1","111",11,"95","36","1","101","50",NA,NA,NA,"1",NA,"1",NA,2016-07-28,"489998",NA,2017-03-07,"489998","11","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.656441,-83.470422,18.8042182922363
"53","422910302489998","282502542489998",NA,"2015","13","2","155","7","2","2","111",11.3,"96","36","1","102","50",NA,NA,NA,"1",NA,"1",NA,2016-07-28,"489998",NA,2017-03-07,"489998","11","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.656441,-83.470422,18.8042182922363
"56","422910442489998","282502551489998",NA,"2015","13","2","71","35","1","1","111",15.5,"80","53","1","78","50",NA,NA,NA,"1",NA,"1",NA,2016-07-28,"489998",NA,2017-03-07,"489998","11","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.073947,-83.671932,19.1306972503662
"61","422910762489998","282502561489998",NA,"2015","13","1","101","50","1","1","111",9.2,"58","16","1","85","50",NA,NA,NA,"1",NA,"1",NA,2016-07-28,"489998",NA,2017-03-07,"489998","11","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.622587,-82.666877,19.5588760375977
"67","422910996489998","282502566489998",NA,"2015","13","2","173","19","1","1","111",14.2,"73","62","1","68","50",NA,NA,NA,"1",NA,"1",NA,2016-07-28,"489998",NA,2017-03-07,"489998","11","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.121959,-83.090319,19.1954574584961
"68","422911073489998","282502567489998",NA,"2015","13","2","173","10","1","1","111",8.4,"65","25","1","79","50",NA,NA,NA,"1",NA,"1",NA,2016-07-28,"489998",NA,2017-03-07,"489998","11","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.913535,-83.025715,19.2518329620361
"69","422911074489998","282502567489998",NA,"2015","13","2","173","10","1","2","111",9.6,"70","27","1","82","50",NA,NA,NA,"1",NA,"1",NA,2016-07-28,"489998",NA,2017-03-07,"489998","11","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.913535,-83.025715,19.2518329620361
"70","422911126489998","282502568489998",NA,"2015","13","2","173","17","1","1","111",7,"40","13","1","71","50",NA,NA,NA,"1",NA,"1",NA,2016-07-28,"489998",NA,2017-03-07,"489998","11","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.044096,-83.064831,19.1954574584961
"71","422911206489998","282502570489998",NA,"2015","13","2","19","27","2","1","111",12,"70","15","1","101","50","3","304","15.6","1",NA,"1",NA,2016-07-28,"489998",NA,2017-03-07,"489998","11","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.122966,-83.253112,19.2180309295654
