OID,PLT_CN,LAT,LON,TIME_INT,wc2_1_30s_,ai_et0_NAD,SOC0_5_NAD,SOC5_15NAD,N5_15_NAD,N0_5_NAD
-1,20347303010500.000000000000000,30.057265000000001,-82.166450999999995,7,20.1208000,8212,547,171,622,1679
-1,374860910490000.000000000000000,30.667339999999999,-84.194805000000002,12,19.2416992,9085,297,135,97,547
-1,259178136011000.000000000000000,30.471115000000001,-85.231998000000004,7,19.3582993,9459,751,142,360,1228
-1,43854921020000.000000000000000,30.586784999999999,-81.841222999999999,6,20.0792007,8204,680,235,539,1266
-1,43854902020000.000000000000000,29.953301000000000,-83.398122999999998,6,19.9582996,8995,751,176,942,1675
-1,218218359020000.000000000000000,29.138950999999999,-81.934402000000006,5,20.8957996,7702,585,326,1860,2029
-1,289515438490000.000000000000000,29.774428000000000,-82.111350999999999,7,20.2583008,8076,502,147,716,1659
-1,374861569490000.000000000000000,29.564131000000000,-82.128549000000007,6,20.4750004,7946,446,141,865,1779
-1,374861300490000.000000000000000,30.125010000000000,-82.382660000000001,6,19.9666996,8388,415,123,339,1710
-1,374861151490000.000000000000000,30.857073000000000,-86.444522000000006,5,18.6583004,10076,489,140,176,576
