"","OID","PLT_CN","LAT","LON","TIME_INT","X30s_NAD","ai_NAD","SOC5_15NAD","SOC0_5_NAD","N5_15_NAD","N0_5_NAD","SOILGRIDS_C_AVG","SOILGRIDS_N_AVG","SOILGRIDS_CN","SOILGRIDS_CN_SCALE","aridity","TPA_start","TPA_end"
"1",-1,20345142010500,29.832683,-82.25153,8,20.2082996,8094,110,371,270,1536,19.7,6.92,2.84682080924856,42.318450867052,0.8094,375,537
"2",-1,218218869020000,30.298842,-82.369461,13,19.7875004,8471,157,581,300,1635,29.8333333333333,7.45,4.00447427293065,49.5097941834452,0.8471,477,165
"3",-1,218219125020000,30.237656,-82.524226,12,19.8500004,8464,169,566,312,1495,30.1333333333333,7.06333333333333,4.26616328456819,51.1354063237376,0.8464,531,393
"4",-1,20350888010500,29.747995,-83.27984,6,20.1833,8957,176,765,1251,1729,37.2333333333333,14.1033333333333,2.64003781611912,41.033914913732,0.8957,318,474
"5",-1,20303873010500,29.832536,-83.248534,8,20.0499992,8920,184,540,1271,2101,30.2666666666667,15.4766666666667,1.95563213439586,36.7823868188671,0.892,690,795
"6",-1,20286440010500,29.43473,-81.953819,7,20.5958004,7803,150,497,1655,2105,26.5666666666667,18.05,1.47183748845799,33.777054478301,0.7803,393,369
"7",-1,20330076010500,30.227281,-83.109554,7,20.1667004,8387,113,670,257,1545,29.8666666666667,6.86333333333333,4.35162700339971,51.666306945119,0.8387,600,162
"8",-1,20330643010500,29.848056,-83.538334,7,20.2250004,8907,140,764,818,1572,34.8,10.6933333333333,3.25436408977556,44.8501097256858,0.8907,288,552
"9",-1,20330556010500,30.057547,-83.608197,6,20.0916996,8913,228,736,787,1765,39.7333333333333,11.13,3.56993111710093,46.810412099431,0.8913,750,627
"10",-1,218218107020000,30.373208,-85.645587,12,19.3582993,9877,130,417,339,1027,22.5666666666667,5.68333333333333,3.97067448680352,49.2998299120235,0.9877,648,489
"11",-1,20294759010500,29.985793,-84.495895,6,19.9333,9480,268,594,637,1192,37.6666666666667,8.22,4.5823195458232,53.0993690186537,0.948,285,312
