OID,PLT_CN,LAT,LON,TIME_INT,30s_NAD,ai_NAD,SOC5_15NAD,SOC0_5_NAD,N5_15_NAD,N0_5_NAD
-1,20345142010500.000000000000000,29.832682999999999,-82.251530000000002,8,20.2082996,8094,110,371,270,1536
-1,218218869020000.000000000000000,30.298842000000000,-82.369461000000001,13,19.7875004,8471,157,581,300,1635
-1,218219125020000.000000000000000,30.237656000000001,-82.524225999999999,12,19.8500004,8464,169,566,312,1495
-1,20350888010500.000000000000000,29.747995000000000,-83.279839999999993,6,20.1833000,8957,176,765,1251,1729
-1,20303873010500.000000000000000,29.832536000000001,-83.248534000000006,8,20.0499992,8920,184,540,1271,2101
-1,20286440010500.000000000000000,29.434729999999998,-81.953818999999996,7,20.5958004,7803,150,497,1655,2105
-1,20330076010500.000000000000000,30.227281000000001,-83.109554000000003,7,20.1667004,8387,113,670,257,1545
-1,20330643010500.000000000000000,29.848056000000000,-83.538334000000006,7,20.2250004,8907,140,764,818,1572
-1,20330556010500.000000000000000,30.057547000000000,-83.608197000000004,6,20.0916996,8913,228,736,787,1765
-1,218218107020000.000000000000000,30.373208000000002,-85.645587000000006,12,19.3582993,9877,130,417,339,1027
-1,20294759010500.000000000000000,29.985793000000001,-84.495895000000004,6,19.9333000,9480,268,594,637,1192
-1,20296619010500.000000000000000,30.062982000000002,-85.319211999999993,6,19.7166996,10091,221,665,700,1295
-1,137163252010000.000000000000000,29.982011000000000,-85.237741999999997,5,19.7875004,10055,180,678,676,1265
-1,218218022020000.000000000000000,30.140160999999999,-85.017075000000006,12,19.7500000,9800,173,575,631,1405
-1,218218142020000.000000000000000,30.158232000000002,-84.736621999999997,12,19.6417007,9597,188,687,529,1433
-1,259178155011000.000000000000000,30.068746999999998,-84.951363000000001,10,19.7875004,9687,184,693,585,1268
-1,176860816011000.000000000000000,30.111492999999999,-84.589654999999993,8,19.7332993,9561,139,639,562,1320
-1,20339500010500.000000000000000,26.864155000000000,-81.802869999999999,7,23.0375004,7147,697,668,902,1261
-1,20267247010500.000000000000000,29.989356999999998,-83.358007999999998,7,19.9375000,8933,185,616,966,1571
-1,20279564010500.000000000000000,29.776254999999999,-81.659085000000005,8,20.5625000,7712,216,553,617,1569
-1,289515527490000.000000000000000,30.134263000000001,-83.451548000000003,11,19.8792000,8901,173,527,265,1770
-1,20309234010500.000000000000000,30.235983000000001,-85.386022999999994,6,19.3875008,9986,183,574,600,1301
-1,289515122490000.000000000000000,30.410789999999999,-85.350144999999998,13,19.2999992,9760,146,676,385,1073
-1,289515053490000.000000000000000,29.781724000000001,-84.839391000000006,13,20.1958008,9245,247,639,550,1345
-1,20322289010500.000000000000000,29.923214999999999,-85.337871000000007,5,20.0125008,9839,186,672,647,1319
-1,43854384020000.000000000000000,30.024092000000000,-84.927744000000004,9,19.8250008,9648,145,622,620,1145
-1,289515848490000.000000000000000,26.976192000000001,-82.269991000000005,11,22.8750000,7013,688,704,1068,1472
-1,374861409490000.000000000000000,29.342185000000001,-82.946217000000004,11,20.5625000,8922,178,693,1383,2020
-1,249673708011000.000000000000000,30.304966000000000,-82.878763000000006,6,20.0083008,8395,139,306,265,1686
-1,249673712011000.000000000000000,30.293482000000001,-83.038891000000007,6,20.1375008,8322,88,282,178,1161
-1,374861698490000.000000000000000,30.201872000000002,-82.901961999999997,13,19.9792004,8547,144,296,193,1156
-1,374861101490000.000000000000000,30.502683999999999,-85.398235999999997,13,19.1417007,9750,114,573,197,986
-1,249673463011000.000000000000000,30.420348000000001,-85.572496000000001,7,19.3833008,9785,182,760,514,1107
-1,249673611011000.000000000000000,30.217621000000001,-84.069779999999994,7,19.6667004,9287,136,665,516,1297
-1,374861230490000.000000000000000,28.353047000000000,-81.811414999999997,12,21.9125004,7189,307,547,1348,1792
-1,90828118010500.000000000000000,30.295607000000000,-83.419014000000004,6,19.6875000,8670,205,664,524,1411
-1,259178120011000.000000000000000,30.064243000000001,-85.388407000000001,8,19.8083000,10040,257,686,602,1275
-1,259178850011000.000000000000000,26.878382999999999,-81.705752000000004,8,22.8332996,7190,676,652,1159,1503
-1,259178788011000.000000000000000,26.805475999999999,-82.022032999999993,5,23.0708008,7020,371,343,759,1250
