observed.d_in,modeled.d_in,Age,tree density_Ha,Temp,aridity
0.94488,2.104738293,2,1334,19.983325,0.85345
1.023622047,2.122358279,2,2990,19.983325,0.85345
2.165354331,3.041379861,3,1334,19.983325,0.85345
2.007874016,2.994099575,3,2990,19.983325,0.85345
4.133858268,4.481906486,5,1334,19.983325,0.85345
3.42519685,4.415977803,5,2990,19.983325,0.85345
1.614173228,2.895883233,5,1392,20.05,0.8175955
1.771653543,2.875072965,5,1280,20.05,0.8175955
2.440944882,2.879863371,5,1648,20.05,0.8175955
3.031496063,4.03248834,8,1696,20.05,0.8175955
3.464566929,4.07640147,8,1728,20.05,0.8175955
3.188976378,3.989099781,8,1792,20.05,0.8175955
5.433070866,5.562108123,14,880,20.05,0.8175955
5.787401575,5.906830595,14,1080,20.05,0.8175955
6.417322835,5.840708897,14,1280,20.05,0.8175955
6.417322835,6.731442271,18,1008,20.05,0.8175955
6.377952756,6.489342679,18,1040,20.05,0.8175955
6.57480315,6.580743337,18,784,20.05,0.8175955
7.874015748,7.781436293,26,928,20.05,0.8175955
6.692913386,7.770888032,26,1184,20.05,0.8175955
6.732283465,7.822782281,26,1056,20.05,0.8175955
7.322834646,8.830149727,34,1056,20.05,0.8175955
7.007874016,8.568445314,34,928,20.05,0.8175955
6.456692913,8.531019554,34,976,20.05,0.8175955
8,7.208775,25,946,20.76,0.8139
