"","X","OID","PLT_CN","LAT","LON","TIME_INT","wc2_1_30s_","ai_et0_NAD","SOC0_5_NAD","SOC5_15NAD","N5_15_NAD","N0_5_NAD","SOILGRIDS_C_AVG","SOILGRIDS_N_AVG","SOILGRIDS_CN","SOILGRIDS_CN_SCALE","aridity","TPA_start","TPA_end","Plot","species"
"1",1,-1,20345142010500,29.832683,-82.25153,8,20.2082996,8094,371,110,270,1536,19.7,6.92,2.84682080924856,42.318450867052,0.8094,375,537,"Calibration","Slash"
"4",4,-1,20350888010500,29.747995,-83.27984,6,20.1833,8957,765,176,1251,1729,37.2333333333333,14.1033333333333,2.64003781611912,41.033914913732,0.8957,318,474,"Validation","Slash"
"5",5,-1,20303873010500,29.832536,-83.248534,8,20.0499992,8920,540,184,1271,2101,30.2666666666667,15.4766666666667,1.95563213439586,36.7823868188671,0.892,690,795,"Validation","Slash"
"8",8,-1,20330643010500,29.848056,-83.538334,7,20.2250004,8907,764,140,818,1572,34.8,10.6933333333333,3.25436408977556,44.8501097256858,0.8907,288,552,"Validation","Slash"
"11",11,-1,20294759010500,29.985793,-84.495895,6,19.9333,9480,594,268,637,1192,37.6666666666667,8.22,4.5823195458232,53.0993690186537,0.948,285,312,"Validation","Slash"
"13",13,-1,137163252010000,29.982011,-85.237742,5,19.7875004,10055,678,180,676,1265,34.6,8.72333333333333,3.96637371035537,49.2731134887275,1.0055,390,399,"Validation","Slash"
"14",14,-1,218218022020000,30.140161,-85.017075,12,19.75,9800,575,173,631,1405,30.7,8.89,3.4533183352081,46.0860134983127,0.98,636,732,"Calibration","Slash"
"20",20,-1,20279564010500,29.776255,-81.659085,8,20.5625,7712,553,216,617,1569,32.8333333333333,9.34333333333333,3.51409204423832,46.4635397788084,0.7712,111,210,"Calibration","Slash"
"24",24,-1,289515053490000,29.781724,-84.839391,13,20.1958008,9245,639,247,550,1345,37.7666666666667,8.15,4.63394683026585,53.4200777096115,0.9245,279,405,"Calibration","Slash"
"25",25,-1,20322289010500,29.923215,-85.337871,5,20.0125008,9839,672,186,647,1319,34.8,8.71,3.99540757749713,49.4534718714122,0.9839,111,147,"Validation","Slash"
