,plot_density,age,modeled.d,observed.d
1,1392,5,3.379388068,1.614173228
2,1280,5,3.43066815,1.771653543
3,1648,5,3.442756103,2.440944882
4,1696,8,4.004486241,3.031496063
5,1728,8,4.047672125,3.464566929
6,1792,8,4.08940168,3.188976378
7,880,14,4.702894454,5.433070866
8,1080,14,4.712653108,5.787401575
9,1280,14,4.75109488,6.417322835
10,1008,18,4.993406894,6.417322835
11,1040,18,4.992007527,6.377952756
12,784,18,4.90620644,6.57480315
13,928,26,5.22998736,7.874015748
14,1184,26,5.223717997,6.692913386
15,1056,26,5.107310561,6.732283465
16,1056,34,5.349713786,7.322834646
17,928,34,5.270707112,7.007874016
18,976,34,5.307062803,6.456692913
