"","Observed_Diameter","Modeled_Diameter","Age","Tree_Density","Temperature","CN*aridity","Aridity","Soil_CN","Observed_Biomass","Modeled_Biomass","sd.tasb","sd.dbh"
"18",8.777840964,8.86505392568716,33,1559,19.24316597,52.6980137957773,0.9308,56.6158291746641,13775.27481,6355.22150558838,247.771245060843,0.100936663083823
"29",6.479633181,8.04611779713239,19,1681,20.65181351,36.4583874272584,0.9047,40.2988697106869,6193.523511,5256.37372856363,184.09210302234,0.100038908083082
"30",6.687546694,4.73065407481566,21,1742,20.71843719,37.2441517288695,0.8874,41.9699703953904,7942.087642,6011.93822747131,167.96482016283,0.0664811878170336
"36",6.094802026,5.17449197715202,39,1298,21.20463562,31.3862156536908,0.7726,40.6241465877437,6634.115792,6711.65792961543,388.81671321413,0.13487183988427
"75",7.293193559,4.96892470579626,23,1946,19.83343697,47.3032202912031,0.8221,57.5394967658473,11580.0027,7808.68395499913,283.436608642945,0.0943016651964159
"83",9.252905437,7.72299589850326,32,1032,19.037323,61.5849074776398,1.0602,58.0880093167702,9554.009281,2334.15750714782,144.04907151905,0.13419086214375
"91",6.822712936,4.41706980697382,24,3022,18.80515671,95.9369375837696,0.9605,99.8822879581152,13695.04316,8992.71195738564,236.961360768703,0.0554305291519871
"122",10.22973535,8.84972715466673,26,1238,20.79311562,29.7541253207352,0.8082,36.8152998276852,14960.51204,5313.14850096175,247.829251737708,0.0975301188960843
"130",6.562824839,8.00838928216103,18,1047,19.62741661,48.7148730911493,0.87,55.994107001321,4018.615635,3225.10298469527,94.3753696889166,0.0848886852942584
"133",6.85229079,4.63962811791419,29,497,19.51413536,48.8718146982847,0.9241,52.8858507718696,2609.78835,1832.19345513659,112.565072701952,0.124703050146439
"147",7.433861803,5.01043885367314,27,589,19.96472931,36.8579117571429,0.8397,43.8941428571429,4751.258892,2532.95470406736,143.714448268954,0.140991321714409
"153",8.760272731,8.42603340364888,25,886,18.97750092,71.0469952692308,0.8915,79.6937692307692,7053.46243,3385.07870774333,92.0934218334698,0.0927125231077604
"156",7.379831449,7.87940293276434,22,1749,18.73005295,76.8435306200957,0.9972,77.0592966507177,8771.150674,4320.63626747003,212.177771136533,0.0943764065908852
"159",3.752497672,4.25481875810766,12,2283,21.06446838,37.4195357745227,0.7651,48.9080326421679,2411.116842,4757.21116720172,93.9660587091728,0.0475679458471229
"182",5.009191358,4.48807484419881,15,987,20.12836456,37.5628213,0.8903,42.1911954397394,2101.88534,2551.22196888255,92.5412657739194,0.106358004382063
"185",5.770281644,4.16247112405746,19,1841,19.11320877,82.9629773068966,0.9783,84.8032068965517,5524.858807,4304.21494982919,169.937837620743,0.0696757368320806
"195",5.041056736,4.40300607677963,14,1966,19.96545792,40.8880337132797,0.8995,45.456402127048,4132.292436,4683.24344582368,86.4758255972408,0.0355646108635508
"210",8.197435897,7.57887060723798,29,580,18.82186508,71.4108015445687,1.0647,67.0712891373802,3886.89325,1208.91537732846,66.0695485457587,0.181815510292865
"226",9.9125,8.29083908948903,35,238,19.69690704,46.8950806591898,1.011,46.3848473384667,2780.498794,731.762315289072,95.9931160129395,0.314218560857906
"228",5.55779223,4.14449426499537,21,1981,18.7298336,73.6029293115246,1.0015,73.4926902761104,5372.223104,4770.18173764943,151.615225093635,0.0722276212619091
