field_1,Tree_Density,Maximum_DBH,Average_DBH,Observed_Biomass,LAT,LON,PLT_CN,original_plot,aridity_1,temperature_1,SOC_0_5_1,SOC_5_15_1,N_0_5_1,N_5_15_1
1,1559.41805,15.3,8.777840964,13775.27481,30.58,-84.53,1.56128E+14,18,9308,19.24316597,324,121,682,180
2,1681.030589,10.7,6.479633181,6193.523511,29.42,-82.97,1.56183E+14,29,9047,20.65181351,748,167,2227,1427
3,1741.725331,11.4,6.687546694,7942.087642,29.31,-82.81,1.56183E+14,30,8874,20.71843719,698,272,1963,1535
4,1298.182837,18.3,6.094802026,6634.115792,29.14,-81.94,1.56184E+14,36,7726,21.20463562,637,312,1978,1883
5,1946.431462,12.6,7.293193559,11580.0027,30.67,-81.78,1.56171E+14,75,8221,19.83343697,699,302,1513,403
6,1032.135761,12.2,9.252905437,9554.009281,30.78,-87.39,1.56166E+14,83,10602,19.037323,470,134,814,237
7,3021.633735,11.4,6.822712936,13695.04316,30.912583,-86.03188,1.56168E+14,91,9605,18.80515671,547,133,363,105
8,1237.51097,13.7,10.22973535,14960.51204,29.360451,-82.426665,2.03076E+13,122,8082,20.79311562,472,136,2057,1583
9,1046.676389,10.2,6.562824839,4018.615635,30.241806,-83.349114,2.02673E+13,130,8700,19.62741661,847,179,1567,352
10,497.3202926,14.1,6.85229079,2609.78835,30.433234,-84.04006,1.40549E+14,133,9241,19.51413536,546,136,1179,285
11,589.0060677,14,7.433861803,4751.258892,30.191693,-82.733159,1.40579E+14,147,8397,19.96472931,314,143,1668,216
12,886.4866235,12.6,8.760272731,7053.46243,30.879749,-85.506833,1.40559E+14,153,8915,18.97750092,500,144,550,115
13,1748.935948,10.1,7.379831449,8771.150674,30.870535,-86.243569,1.40545E+14,156,9972,18.73005295,496,152,516,160
14,2282.7151,7.7,3.752497672,2411.116842,29.434285,-81.248547,1.34678E+14,159,7651,21.06446838,878,504,1885,1493
15,986.5653746,9.1,5.009191358,2101.88534,29.778045,-83.21016,2.59178E+14,182,8903,20.12836456,803,177,1953,1326
16,1840.635434,9.4,5.770281644,5524.858807,30.817077,-85.981956,2.59178E+14,185,9783,19.11320877,582,145,489,147
17,1966.341386,8.4,5.041056736,4132.292436,29.953301,-83.398123,4.38549E+13,195,8995,19.96545792,750,177,1633,923
18,579.7183712,11.1,8.197435897,3886.89325,30.917002,-87.47392,2.18218E+14,210,10647,18.82186508,633,156,820,216
19,237.8331779,14.2,9.9125,2780.498794,30.135024,-85.319725,3.74861E+14,226,10110,19.69690704,660,172,1441,773
20,1981.20596,9.7,5.55779223,5372.223104,30.857073,-86.444522,3.74861E+14,228,10015,18.7298336,435,151,535,149
