"","Tree_Density","Maximum_DBH","Average_DBH","Observed_Biomass","LAT","LON","PLT_CN","original_plot"
"1",1559.4180498,15.3,8.7778409635239,13775.2748128378,30.58,-84.53,156128045010854,18
"2",1681.03058942,10.7,6.47963318114169,6193.52351052666,29.42,-82.97,156182567010854,29
"3",1741.72533132,11.4,6.68754669440355,7942.0876416056,29.31,-82.81,156182620010854,30
"4",1298.18283712,18.3,6.09480202556986,6634.11579210489,29.14,-81.94,156183561010854,36
"5",1946.43146204,12.6,7.29319355891365,11580.002697502,30.67,-81.78,156171171010854,75
"6",1032.13576063,12.2,9.25290543743942,9554.0092805656,30.78,-87.39,156165825010854,83
"7",3021.63373512,11.4,6.82271293624416,13695.0431601506,30.912583,-86.03188,156168032010854,91
"8",1237.51096989,13.7,10.2297353450695,14960.5120418066,29.360451,-82.426665,20307613010478,122
"9",1046.67638881,10.2,6.56282483878686,4018.61563453773,30.241806,-83.349114,20267347010478,130
"10",497.32029256,14.1,6.85229079005028,2609.78834984527,30.433234,-84.04006,140549197010478,133
"11",589.00606765,14,7.43386180291075,4751.258891734,30.191693,-82.733159,140579365010478,147
"12",886.48662349,12.6,8.76027273134551,7053.46243036076,30.879749,-85.506833,140559087010478,153
"13",1748.93594798,10.1,7.37983144899232,8771.15067414214,30.870535,-86.243569,140544647010478,156
"14",2282.71510038,7.7,3.75249767221326,2411.11684164884,29.434285,-81.248547,134678192010854,159
"15",986.5653746,9.1,5.00919135831184,2101.88533980887,29.778045,-83.21016,259178318010854,182
"16",1840.63543404,9.4,5.77028164403749,5524.85880747554,30.817077,-85.981956,259178069010854,185
"17",1966.3413861,8.4,5.04105673553366,4132.29243558651,29.953301,-83.398123,43854902020004,195
"18",579.71837118,11.1,8.1974358974359,3886.89325016339,30.917002,-87.47392,218218088020004,210
"19",237.83317792,14.2,9.9125,2780.4987938286,30.135024,-85.319725,374860988489998,226
"20",1981.20595972,9.7,5.55779223012946,5372.22310404012,30.857073,-86.444522,374861151489998,228
