"","field_1","CN","PLT_CN","PREV_SIT_C","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","CONDID","TREE","SPCD","DIA","HT","AGEDIA","SPGRPCD","SITREE","SIBASE","SUBP","AZIMUTH","DIST","METHOD","SITREE_EST","VALIDCD","CREATED_BY","CREATED_DA","CREATED_IN","MODIFIED_B","MODIFIED_D","MODIFIED_I","CYCLE","SUBCYCLE","AGECHKCD_R","AGE_DETERM","CCLCD_RMRS","DAMAGE_AGE","SIBASE_AGE","SITETRCD_R","SITE_AGE_T","SITE_TREE_","SITREE_EQU","TREECLCD_R","TREE_ACT_R","YEAR_AGE_T","LAT","LON","AVG_TEMP_bioclim","SOIL_MOIS","FIA_avg_soil_c","FIA_avg_soil_n","FIA_CN_RATIO","SOC_ORNL_kgperm2","N_ORNL_gperm2","Soilgrids_N_0.5","Soilgrids_N_5.15","Soilgrids_C_0.5","Soilgrids_C_5.15","precip_1","aridity_1","SOC_0_5_1","SOC_5_15_1","Nitrogen_0_5_1","Nitrogen_5_15_1","ORNL_CN","SOILGRIDS_C_AVG","SOILGRIDS_N_AVG","SOILGRIDS_CN","SOILGRIDS_CN_SCALE","logDIA","logAVG_TEMP","logSOILGRIDS_CN_SCALE","logAGEDIA","logprecip"
"2",2,2.05e+14,2.03e+13,NA,2002,12,1,1,19,1,1,"121",17.5,68,47,1,66,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.599723,-82.502123,20.70206,267.05,NA,NA,NA,8.917019844,545.073,1721,1114,490,163,1399,0.8284,569,125,1843,978,16.3593130534809,27.3,12.6633333333333,2.15583048170571,40.4289584101079,1.24303804868629,1.31601356295061,1.60669255254887,1.67209785793572,3.14581771449183
"10",10,2.05e+14,1.73e+14,NA,2002,12,1,3,67,1,1,"121",17.4,87,63,1,78,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.282271,-82.36592,19.78861,321.773,NA,NA,NA,23.9673996,1898.18994,962,397,563,205,1360,0.8494,523,159,1534,321,12.6264495954499,28.0333333333333,7.25333333333333,3.86488970588235,48.8734200367647,1.2405492482826,1.29641528937916,1.68907273090713,1.79934054945358,3.13353890837022
"15",15,2.05e+14,2.03e+13,NA,2002,12,1,19,31,1,1,"121",12.2,76,56,1,70,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.145254,-81.988313,20.28551,247.17,NA,NA,NA,8.051400185,627.54602,1134,411,713,189,1309,0.8143,731,228,1593,797,12.8299756964437,39.5666666666667,10.6233333333333,3.72450580483213,48.1797831816756,1.08635983067475,1.30718593081784,1.68286484125772,1.7481880270062,3.11693964655076
"21",21,2.05e+14,1.73e+14,NA,2002,12,1,23,87,1,1,"121",13.7,80,87,1,68,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.24141,-82.524132,19.84337,321.773,NA,NA,NA,23.9673996,1898.18994,1090,310,635,187,1362,0.8464,574,172,1502,316,12.6264495954499,30.6,7.11333333333333,4.30178069353327,51.0320984067479,1.13672056715641,1.29761543032409,1.70784342660647,1.93951925261862,3.13417710757677
"58",58,2.05e+14,2.03e+13,NA,2002,12,1,83,4,1,1,"121",20.2,73,70,1,64,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.432857,-81.810193,20.85531,247.17,NA,NA,NA,8.051400185,627.54602,1478,739,300,171,1290,0.7833,269,145,1783,645,12.8299756964437,18.6333333333333,10.2433333333333,1.81906931337455,38.7650214773837,1.30535136944662,1.31921664972195,1.58844002892223,1.84509804001426,3.11058971029925
"86",86,2.05e+14,2.03e+13,NA,2002,12,1,107,5,1,1,"121",20.5,65,91,1,55,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.605435,-81.900392,20.68131,262.886,NA,NA,NA,8.796859741,558.97198,1154,691,426,122,1286,0.7821,390,153,1650,618,15.7375683500271,23.2,9.62,2.41164241164241,41.6929251559252,1.31175386105575,1.31557804446796,1.62006236609083,1.95904139232109,3.1092409685882
"88",88,2.05e+14,2.03e+13,NA,2002,12,1,107,20,1,1,"121",11.9,56,64,1,50,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.665196,-82.026368,20.56646,247.17,NA,NA,NA,8.051400185,627.54602,1394,588,224,131,1297,0.7978,305,108,1752,492,12.8299756964437,17.3666666666667,9.12,1.90423976608187,39.1858486842105,1.07554696139253,1.31315954523041,1.59312925712354,1.80617997398389,3.11293997608408
"94",94,2.05e+14,2.03e+13,NA,2002,12,1,107,49,1,1,"121",9.6,57,48,1,55,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.713654,-81.703249,20.50167,321.773,NA,NA,NA,23.9673996,1898.18994,1096,885,716,330,1271,0.7719,655,347,1505,887,12.6264495954499,44.9666666666667,10.93,4.11405916437938,50.1045663311985,0.982271233039568,1.31178923872623,1.69987730754533,1.68124123737559,3.10414555055401
"100",100,2.05e+14,2.03e+13,NA,2002,12,1,121,3,1,1,"121",16.9,69,45,1,68,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.384302,-83.030527,19.84455,267.05,NA,NA,NA,8.917019844,545.073,1458,315,312,97,1348,0.8324,306,104,1465,231,16.3593130534809,17.1333333333333,6.42333333333333,2.6673585884795,42.9564187856772,1.22788670461367,1.29764125518409,1.63302806769968,1.65321251377534,3.1296898921993
"125",125,2.05e+14,2.03e+13,NA,2002,12,1,127,59,1,1,"121",14.4,75,41,1,76,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.227609,-81.44495,21.11748,321.773,NA,NA,NA,23.9673996,1898.18994,1806,1732,432,351,1317,0.7854,526,253,1671,1483,12.6264495954499,34.4,15.4566666666667,2.22557688160449,40.7735753720078,1.15836249209525,1.32464209154209,1.61037879573599,1.61278385671974,3.11958577496178
