"","PLT_CN","LAT","LON","TIME_INT"
"1","20333471010478",30.217986,-84.427137,7
"2","20304460010478",28.625735,-81.689058,7
"3","20271309010478",27.517255,-82.385035,6
"4","289515834489998",27.670665,-81.354235,12
"5","289515455489998",26.952103,-81.752718,11
"6","374860903489998",30.577429,-85.099417,13
"7","374861993489998",27.835605,-80.526395,13
"8","218219098020004",30.37141,-82.652928,6
"9","218217950020004",30.516932,-85.165759,6
"10","218218431020004",28.339762,-81.105866,5
"11","289515800489998",29.390046,-81.796209,5
"12","289515153489998",29.937359,-84.635256,6
"13","289514949489998",30.399563,-84.482698,5
"14","289514998489998",30.147477,-84.991462,5
"15","289515165489998",30.513087,-86.86226,5
"16","289515918489998",27.975033,-81.07311,6
"17","374861301489998",30.221066,-82.477845,5
"18","374860899489998",30.808299,-85.003135,6
"19","374862320489998",30.267277,-84.979594,7
"20","374860942489998",30.486311,-86.736063,5
"21","374861009489998",30.940439,-86.994746,5
"22","374861805489998",27.384247,-82.103219,7
"23","374861881489998",28.01776,-80.889423,5
