,Modeled_Diameter,Age,Tree_Density,Temperature,Aridity,Modeled_Biomass,Lat,Long
1,5.00784832,40,2000,18.7250004,1.0652,8056.26083,3447122.103,-129629.7587
2,4.973020369,40,2000,18.6667004,1.0691,7810.223502,3447122.103,-126000.474
3,4.974264783,40,2000,18.6749992,1.0651,7971.71816,3447122.103,-123278.5105
4,4.936045377,40,2000,18.6791992,1.0675,7562.859991,3447122.103,-122371.1893
5,4.978352547,40,2000,18.7124996,1.0668,8020.497371,3446214.782,-128722.4375
6,4.91364975,40,2000,18.7042007,1.0691,7754.570594,3446214.782,-127815.1163
7,4.892652599,40,2000,18.6707993,1.0721,7705.052317,3446214.782,-126000.474
8,4.961230996,40,2000,18.6667004,1.0687,7736.261867,3446214.782,-125093.1528
9,4.968796298,40,2000,18.7332993,1.0647,7946.023831,3446214.782,-124185.8317
10,4.859742338,40,2000,18.7667007,1.0602,7549.359591,3446214.782,-113297.9776
11,4.96490153,40,2000,18.7416992,1.0581,7884.111446,3446214.782,-111483.3353
12,4.998904305,40,2000,18.7416992,1.0576,7966.662712,3446214.782,-109668.693
13,5.100999954,40,2000,18.6833,1.0629,8316.487618,3446214.782,-107854.0506
14,5.031963487,40,2000,18.6707993,1.0623,8125.290881,3446214.782,-106946.7295
15,4.8873385,40,2000,18.6541996,1.068,7650.106928,3446214.782,-105132.0871
16,5.05146529,40,2000,18.6791992,1.0642,8110.175858,3446214.782,-101502.8024
17,5.036573909,40,2000,18.7542,1.0531,8099.474377,3446214.782,-99688.1601
18,4.971572073,40,2000,18.7542,1.0634,7920.820022,3445307.46,-129629.7587
19,4.91988726,40,2000,18.6667004,1.0739,7714.490892,3445307.46,-126907.7952
20,4.903319592,40,2000,18.6707993,1.0706,7569.879554,3445307.46,-126000.474
21,4.911327817,40,2000,18.6749992,1.07,7749.959138,3445307.46,-125093.1528
22,5.02164934,40,2000,18.7374992,1.0645,7823.665772,3445307.46,-124185.8317
23,4.956931875,40,2000,18.7875004,1.063,8086.21815,3445307.46,-118741.9046
24,4.951909049,40,2000,18.7833004,1.0659,7728.374689,3445307.46,-116927.2623
25,4.95514442,40,2000,18.7583008,1.0657,7807.614384,3445307.46,-115112.62
26,4.978199529,40,2000,18.7875004,1.0568,7949.22377,3445307.46,-112390.6565
27,5.076640731,40,2000,18.8041992,1.0557,8222.20234,3445307.46,-111483.3353
28,4.961253816,40,2000,18.7292004,1.0609,7796.976294,3445307.46,-110576.0141
29,4.958116147,40,2000,18.7416992,1.0601,7928.017441,3445307.46,-109668.693
30,4.97361953,40,2000,18.7124996,1.0665,7832.770254,3445307.46,-106039.4083
31,5.081747471,40,2000,18.6917,1.0554,8256.978953,3445307.46,-101502.8024
32,4.9233007,40,2000,18.7042007,1.0626,7741.943387,3445307.46,-100595.4813
33,5.033439297,40,2000,18.7667007,1.0577,7958.845728,3445307.46,-99688.1601
34,5.069424123,40,2000,18.8250008,1.0512,8184.6373,3445307.46,-94244.23309
35,4.941756849,40,2000,18.7416992,1.0571,7916.885394,3445307.46,-86985.66374
36,4.933279965,40,2000,18.6707993,1.062,7662.579961,3445307.46,-86078.34257
37,5.018284501,40,2000,18.6625004,1.0651,7864.004307,3445307.46,-85171.0214
38,4.965571913,40,2000,18.5708008,1.0701,7838.561698,3445307.46,-83356.37907
39,4.892144784,40,2000,18.625,1.0617,7652.385456,3445307.46,-81541.73673
40,4.967463329,40,2000,18.6042004,1.0657,7820.217765,3445307.46,-80634.41556
41,4.924292546,40,2000,18.6333008,1.0667,7685.626484,3445307.46,-79727.09439
42,4.823413337,40,2000,18.5750008,1.0716,7366.474057,3445307.46,-78819.77322
43,4.89835723,40,2000,18.7833004,1.0621,7805.310933,3444400.139,-129629.7587
44,4.902773319,40,2000,18.7166996,1.0691,7638.581199,3444400.139,-128722.4375
45,5.002393946,40,2000,18.7082996,1.0744,7860.862543,3444400.139,-127815.1163
46,5.118527936,40,2000,18.6583004,1.07,8312.801201,3444400.139,-126907.7952
47,4.959993628,40,2000,18.7166996,1.0693,7771.527266,3444400.139,-126000.474
48,5.066114927,40,2000,18.7166996,1.0678,8265.557105,3444400.139,-125093.1528
49,4.914263977,40,2000,18.7250004,1.0642,7718.03846,3444400.139,-124185.8317
50,4.963087899,40,2000,18.7999992,1.0583,7851.901197,3444400.139,-111483.3353
51,4.96057854,40,2000,18.7875004,1.0553,7879.022997,3444400.139,-110576.0141
52,5.070998121,40,2000,18.7583008,1.0574,8252.033232,3444400.139,-109668.693
53,5.100346302,40,2000,18.7999992,1.0549,8330.476741,3444400.139,-108761.3718
54,5.066844407,40,2000,18.7332993,1.065,8108.459379,3444400.139,-106039.4083
55,4.808377553,40,2000,18.7957993,1.0554,7547.677201,3444400.139,-101502.8024
56,5.183626192,40,2000,18.7917004,1.0596,8676.148681,3444400.139,-99688.1601
57,5.014942327,40,2000,18.7917004,1.058,7915.602475,3444400.139,-98780.83894
58,5.084277695,40,2000,18.8624992,1.0504,8230.743473,3444400.139,-94244.23309
59,4.871411093,40,2000,18.7166996,1.064,7488.449814,3444400.139,-87892.98491
60,5.000219323,40,2000,18.6958008,1.0713,8046.514336,3444400.139,-86985.66374
61,4.869584395,40,2000,18.6833,1.0651,7599.093924,3444400.139,-85171.0214
62,5.006988955,40,2000,18.6375008,1.0685,8027.183104,3444400.139,-83356.37907
63,4.908245252,40,2000,18.6333008,1.0627,7724.476562,3444400.139,-80634.41556
64,4.843960543,40,2000,18.6166992,1.066,7389.61291,3444400.139,-79727.09439
65,4.995195656,40,2000,18.5625,1.0682,7785.213663,3444400.139,-77912.45205
66,4.927703747,40,2000,18.5583,1.0638,7735.542864,3444400.139,-75190.48855
67,5.045703257,40,2000,18.5625,1.0588,8120.032291,3444400.139,-74283.16738
68,4.964909236,40,2000,18.5708008,1.0558,7840.898773,3444400.139,-73375.84621
69,4.945577855,40,2000,18.5667,1.0499,7904.32667,3444400.139,-72468.52504
70,4.962838426,40,2000,18.6166992,1.0533,7930.292057,3444400.139,-71561.20387
71,5.181270205,40,2000,18.5583,1.054,8376.819141,3444400.139,-70653.8827
72,4.977995417,40,2000,18.5958004,1.0557,7851.285759,3444400.139,-68839.24037
73,4.981733036,40,2000,18.6042004,1.0515,8034.582904,3444400.139,-67931.9192
74,5.082503595,40,2000,18.625,1.0562,8193.710216,3444400.139,-67024.59803
75,4.999015194,40,2000,18.5499992,1.0513,7947.486803,3444400.139,-66117.27686
76,4.929112929,40,2000,18.5583,1.0498,7812.767846,3444400.139,-65209.95569
77,4.952668811,40,2000,18.5874996,1.0459,7886.10972,3444400.139,-64302.63452
78,4.944915599,40,2000,18.7416992,1.0692,7740.534442,3443492.818,-128722.4375
79,4.931384354,40,2000,18.6749992,1.0697,7661.651061,3443492.818,-127815.1163
80,4.911413802,40,2000,18.6917,1.0689,7551.510616,3443492.818,-126907.7952
81,4.981727552,40,2000,18.7332993,1.069,7862.970869,3443492.818,-126000.474
82,4.949937677,40,2000,18.7374992,1.0652,7699.361078,3443492.818,-125093.1528
83,5.130080813,40,2000,18.7250004,1.0672,8406.299139,3443492.818,-123278.5105
84,4.984689095,40,2000,18.7833004,1.0637,7938.64498,3443492.818,-118741.9046
85,4.951551817,40,2000,18.7583008,1.0656,7822.487761,3443492.818,-116019.9411
86,4.934795008,40,2000,18.7374992,1.0664,7716.835258,3443492.818,-113297.9776
87,5.013943722,40,2000,18.7542,1.0649,8049.78729,3443492.818,-112390.6565
88,4.95263315,40,2000,18.7875004,1.0582,7917.101965,3443492.818,-111483.3353
89,5.019544463,40,2000,18.7833004,1.0573,8025.861628,3443492.818,-110576.0141
90,5.035706293,40,2000,18.7917004,1.0554,8112.619222,3443492.818,-107854.0506
91,4.921441086,40,2000,18.7833004,1.0615,7907.147333,3443492.818,-106946.7295
92,5.014531525,40,2000,18.8041992,1.0533,7979.013588,3443492.818,-102410.1236
93,4.938572794,40,2000,18.9417,1.053,7928.813363,3443492.818,-96966.1966
94,4.968654254,40,2000,18.8167,1.0552,7886.470127,3443492.818,-90614.94842
95,4.985135969,40,2000,18.7292004,1.0633,7964.319736,3443492.818,-89707.62725
96,4.881389221,40,2000,18.7707996,1.0607,7646.398466,3443492.818,-88800.30608
97,5.11275071,40,2000,18.7000008,1.0677,8327.395799,3443492.818,-87892.98491
98,4.787578815,40,2000,18.6208,1.0723,7255.995259,3443492.818,-83356.37907
99,4.977111406,40,2000,18.6208,1.0686,7918.117669,3443492.818,-82449.0579
100,4.917785279,40,2000,18.625,1.0662,7794.55087,3443492.818,-80634.41556
101,5.080045789,40,2000,18.5958004,1.0652,8198.865817,3443492.818,-79727.09439
102,4.987693519,40,2000,18.5916996,1.0638,7958.928491,3443492.818,-78819.77322
103,4.913426606,40,2000,18.5667,1.0652,7867.465724,3443492.818,-77912.45205
104,5.045140537,40,2000,18.5625,1.0589,8112.146467,3443492.818,-75190.48855
105,5.013793445,40,2000,18.5832996,1.0593,8007.797853,3443492.818,-74283.16738
106,4.950226885,40,2000,18.6042004,1.0527,7878.213425,3443492.818,-73375.84621
107,4.897217969,40,2000,18.625,1.0509,7750.888464,3443492.818,-72468.52504
108,5.112658254,40,2000,18.6082993,1.0522,8363.247301,3443492.818,-71561.20387
109,5.067203991,40,2000,18.5457993,1.0558,8242.439002,3443492.818,-70653.8827
110,5.018266359,40,2000,18.5625,1.0538,7988.127651,3443492.818,-69746.56153
111,4.895965169,40,2000,18.5583,1.0531,7688.019954,3443492.818,-68839.24037
112,5.032198529,40,2000,18.5874996,1.0521,8148.522994,3443492.818,-67931.9192
113,5.017092402,40,2000,18.6124992,1.0536,8149.727104,3443492.818,-67024.59803
114,4.899730967,40,2000,18.5667,1.0518,7542.562017,3443492.818,-66117.27686
115,5.160174156,40,2000,18.6000004,1.0454,8608.116001,3443492.818,-64302.63452
116,5.072614749,40,2000,18.5291996,1.0525,8223.120062,3443492.818,-63395.31335
117,5.052751082,40,2000,18.5874996,1.0436,8072.452866,3443492.818,-60673.34985
118,4.97640467,40,2000,18.5499992,1.0446,8136.695588,3443492.818,-59766.02868
119,5.005012179,40,2000,18.5,1.0445,8124.410188,3443492.818,-58858.70751
120,5.040759134,40,2000,18.5625,1.0399,8181.197034,3443492.818,-57951.38634
121,4.961995422,40,2000,18.5541992,1.0372,7975.517206,3443492.818,-56136.744
122,5.016449253,40,2000,18.6208,1.0311,8032.579046,3443492.818,-55229.42283
123,4.979731327,40,2000,18.6042004,1.029,8194.878782,3443492.818,-54322.10167
124,5.087805839,40,2000,18.5874996,1.0315,8369.171203,3443492.818,-53414.7805
125,5.108331923,40,2000,18.5625,1.0305,8381.83664,3443492.818,-52507.45933
126,5.078101938,40,2000,18.5583,1.023,8501.76726,3443492.818,-51600.13816
127,5.107874394,40,2000,18.5750008,1.0204,8432.508991,3443492.818,-50692.81699
128,5.080032948,40,2000,18.8041992,1.0607,8324.97974,3442585.497,-129629.7587
129,5.08562636,40,2000,18.75,1.0673,7926.708647,3442585.497,-128722.4375
130,5.019619757,40,2000,18.7124996,1.0693,8059.228855,3442585.497,-127815.1163
131,4.801438795,40,2000,18.6958008,1.0702,7430.685966,3442585.497,-126907.7952
132,4.784450391,40,2000,18.7124996,1.0681,7279.558661,3442585.497,-126000.474
133,5.08177518,40,2000,18.7625008,1.0618,8207.276307,3442585.497,-125093.1528
134,4.957015419,40,2000,18.7374992,1.0725,7877.395115,3442585.497,-120556.547
135,5.00363131,40,2000,18.7833004,1.0604,7907.953802,3442585.497,-116019.9411
136,4.983555666,40,2000,18.7875004,1.0687,7843.314984,3442585.497,-115112.62
137,5.054136787,40,2000,18.7875004,1.058,8330.506687,3442585.497,-108761.3718
138,5.08877756,40,2000,18.8083,1.0549,8417.997756,3442585.497,-107854.0506
139,4.994551011,40,2000,18.6749992,1.0662,7970.770098,3442585.497,-106039.4083
140,4.94062323,40,2000,18.6541996,1.0704,7763.595214,3442585.497,-105132.0871
141,5.062129662,40,2000,18.8624992,1.0533,8149.268215,3442585.497,-102410.1236
142,4.809867651,40,2000,18.9083004,1.0525,7583.454303,3442585.497,-101502.8024
143,4.899408464,40,2000,18.8708,1.051,7644.039758,3442585.497,-100595.4813
144,5.167277185,40,2000,18.9041996,1.0535,8405.880842,3442585.497,-99688.1601
145,5.081521283,40,2000,18.9417,1.0523,8191.246854,3442585.497,-95151.55426
146,4.976408631,40,2000,18.8624992,1.0536,7908.673266,3442585.497,-92429.59075
147,5.133617447,40,2000,18.8582993,1.0528,8446.01526,3442585.497,-91522.26959
148,5.0629736,40,2000,18.8167,1.0563,8359.832347,3442585.497,-90614.94842
149,4.940563675,40,2000,18.7332993,1.0683,7754.182148,3442585.497,-88800.30608
150,5.000259074,40,2000,18.7208004,1.0724,7958.910253,3442585.497,-87892.98491
151,4.901541868,40,2000,18.6791992,1.0653,7663.662002,3442585.497,-82449.0579
152,4.918270683,40,2000,18.6499996,1.0641,7639.247963,3442585.497,-79727.09439
153,5.019021719,40,2000,18.5750008,1.0625,7926.183545,3442585.497,-77005.13088
154,4.957175054,40,2000,18.5958004,1.062,7797.446231,3442585.497,-76097.80972
155,4.90352555,40,2000,18.6042004,1.0611,7726.790428,3442585.497,-75190.48855
156,5.019250106,40,2000,18.6042004,1.0524,8060.332348,3442585.497,-74283.16738
157,5.037850989,40,2000,18.6208,1.0504,7939.520944,3442585.497,-73375.84621
158,5.01764719,40,2000,18.6333008,1.0485,8091.442766,3442585.497,-72468.52504
159,4.986485174,40,2000,18.6000004,1.0489,8020.366162,3442585.497,-71561.20387
160,4.990508608,40,2000,18.5874996,1.0527,7924.372327,3442585.497,-70653.8827
161,4.974388808,40,2000,18.5625,1.0527,7883.389074,3442585.497,-69746.56153
162,5.035182532,40,2000,18.5874996,1.0531,7919.520808,3442585.497,-68839.24037
163,4.990412391,40,2000,18.6208,1.0492,8062.820123,3442585.497,-67931.9192
164,5.001180517,40,2000,18.6541996,1.0493,8008.871121,3442585.497,-67024.59803
165,5.086651907,40,2000,18.6166992,1.0496,8306.068792,3442585.497,-66117.27686
166,5.0865349,40,2000,18.6208,1.0444,8302.397561,3442585.497,-65209.95569
167,5.02680382,40,2000,18.6124992,1.0475,8141.046955,3442585.497,-64302.63452
168,5.009986211,40,2000,18.5375004,1.052,7967.693063,3442585.497,-62487.99218
169,4.989124859,40,2000,18.6166992,1.0406,8096.908778,3442585.497,-60673.34985
170,4.951390587,40,2000,18.5750008,1.0472,7762.60524,3442585.497,-59766.02868
