plot,LAT,LON,aridity_1,temp_1,SOC_0_5_1,SOC_5_15_1,N_0_5_1,N_5_15_1
1,27.78,-81.36,6957,22.34389687,725,760,1375,923
2,26.78,-80.25,7977,23.5516777,0,0,0,0
3,26.75,-80.25,7906,23.5516777,0,0,0,0
4,26.64,-80.19,8179,23.65270805,0,0,0,0
5,26.64,-80.14,8071,24.04530907,0,0,0,0
6,26.58,-80.11,8077,24.04530907,0,0,0,0
7,26.39,-80.14,8137,24.09528542,0,0,0,0
8,26.36,-80.11,8119,24.09528542,0,0,0,0
9,26.5,-80.08,8018,24.09528542,0,0,0,0
10,27.6701,-81.30742,6920,22.33102036,517,531,1446,927
11,27.69559,-81.24576,6946,22.33102036,476,431,1186,747
12,27.66748,-81.25341,6932,22.33102036,366,427,1137,628
13,27.66208,-81.22349,6926,22.47732353,680,563,1508,936
14,29.02625,-81.82718,7595,20.97239685,475,227,2085,1689
15,27.69177,-81.25784,6941,22.33102036,486,475,1238,827
16,30.22871,-83.40139,8774,19.62741661,972,295,1585,505
17,29.05767,-81.80969,7687,20.97239685,405,182,2095,1702
18,30.16738,-84.95482,9677,19.52181244,515,143,1366,454
19,30.01571,-85.00048,9796,19.75616646,702,164,1359,580
20,30.15976,-84.74998,9604,19.6721344,592,194,1335,571
