OID,Field1,PLT_CN,TPA,INVYR,MEASYEAR,LAT,LON,ELEV,CNsecondme,TimeInterv,remeasTPA,MAT_30s,Arid
-1,1,134677839011000.000000000000000,246,2009,2009,30.298842000000000,-82.369461000000001,150,218218869020000.000000000000000,6,165,19.7875004,8471
-1,2,134677841011000.000000000000000,723,2009,2009,30.533783000000000,-82.252103000000005,110,218218864020000.000000000000000,6,555,19.7749996,8401
-1,3,134677854011000.000000000000000,327,2009,2009,30.373208000000002,-85.645587000000006,70,218218107020000.000000000000000,5,312,19.3582993,9877
-1,4,134677860011000.000000000000000,423,2009,2009,30.206308000000000,-85.439308999999994,60,218219313020000.000000000000000,5,528,19.4750004,10001
-1,5,134677861011000.000000000000000,552,2009,2009,30.138660000000002,-85.447903999999994,40,218218048020000.000000000000000,5,579,19.6749992,9956
-1,6,134677870011000.000000000000000,624,2009,2008,30.142880999999999,-82.114692000000005,140,218218877020000.000000000000000,7,786,19.9792004,8356
-1,7,134677896011000.000000000000000,12,2009,2009,27.861066999999998,-80.600896000000006,30,218219000020000.000000000000000,5,12,22.4874992,7008
-1,8,134678001011000.000000000000000,24,2009,2009,29.918626000000000,-81.786153999999996,70,218218333020000.000000000000000,5,225,20.3458004,7905
-1,9,134678064011000.000000000000000,405,2009,2009,30.237656000000001,-82.524225999999999,150,218219125020000.000000000000000,5,393,19.8500004,8464
-1,10,134678145011000.000000000000000,75,2009,2008,29.545694999999998,-83.072685000000007,20,218219294020000.000000000000000,6,189,20.2292004,9010
-1,11,134678191011000.000000000000000,894,2009,2008,29.267118000000000,-81.301170999999997,30,218218775020000.000000000000000,7,1005,21.0000000,7791
-1,12,134678210011000.000000000000000,366,2009,2009,29.968183000000000,-84.789075999999994,30,218218058020000.000000000000000,6,276,19.8416996,9538
-1,13,134678215011000.000000000000000,558,2009,2009,29.784557000000000,-84.671113000000005,0,218218132020000.000000000000000,6,492,-9999.0000000,-9999
-1,14,134678457011000.000000000000000,552,2009,2009,30.073865000000001,-83.310940000000002,130,218218445020000.000000000000000,5,459,19.8624992,8905
-1,15,134678467011000.000000000000000,255,2009,2009,30.158415000000002,-83.295489000000003,90,218218844020000.000000000000000,6,234,20.0042000,8673
-1,16,134678506011000.000000000000000,24,2009,2008,26.463678999999999,-81.651807000000005,30,218219304020000.000000000000000,6,12,23.2791996,7363
-1,17,134678508011000.000000000000000,48,2009,2008,26.642424999999999,-81.609651999999997,20,218218424020000.000000000000000,6,48,23.2458000,7285
-1,18,134678574011000.000000000000000,66,2009,2009,30.158232000000002,-84.736621999999997,60,218218142020000.000000000000000,5,66,19.6417007,9597
-1,19,134678577011000.000000000000000,66,2009,2009,30.140160999999999,-85.017075000000006,40,218218022020000.000000000000000,5,60,19.7500000,9800
-1,20,134678638011000.000000000000000,60,2009,2009,29.042864000000002,-81.836044000000001,70,218218749020000.000000000000000,5,60,21.0207996,7642
-1,21,134678802011000.000000000000000,42,2009,2009,28.421513999999998,-81.645919000000006,110,218218579020000.000000000000000,5,498,22.0375004,6981
-1,22,134678897011000.000000000000000,24,2009,2009,26.911895999999999,-80.233362000000000,20,218219193020000.000000000000000,5,24,23.3167000,7913
-1,23,134678969011000.000000000000000,186,2009,2009,27.736602000000001,-81.612071000000000,140,218218259020000.000000000000000,5,210,22.3458004,7046
-1,24,134678982011000.000000000000000,72,2009,2008,27.725235000000001,-81.334889000000004,90,218218745020000.000000000000000,6,72,22.3332996,7007
-1,25,134679092011000.000000000000000,411,2009,2009,28.526948999999998,-82.024668000000005,90,218218371020000.000000000000000,5,423,21.6082993,7430
-1,26,134679100011000.000000000000000,456,2009,2008,30.221518000000000,-82.962715000000003,120,218218650020000.000000000000000,6,570,20.1166992,8409
-1,27,134679147011000.000000000000000,423,2009,2009,29.111252000000000,-81.215087999999994,40,218218534020000.000000000000000,5,390,21.0874996,7809
-1,28,134679150011000.000000000000000,138,2009,2009,28.804165000000001,-81.061537000000001,10,218219249020000.000000000000000,5,216,21.6166992,7460
-1,29,134679161011000.000000000000000,540,2009,2009,28.961841000000000,-81.156921999999994,30,218218273020000.000000000000000,5,534,21.3416996,7566
-1,30,176859479011000.000000000000000,75,2010,2010,30.248439999999999,-82.233092999999997,130,289515959490000.000000000000000,6,36,19.9249992,8374
-1,31,176859483011000.000000000000000,318,2010,2010,30.567730999999998,-82.378916000000004,120,289515947490000.000000000000000,6,315,19.7292004,8337
-1,32,176859499011000.000000000000000,240,2010,2010,29.995211000000001,-85.454383000000007,10,289515040490000.000000000000000,6,240,19.9333000,10032
-1,33,176859541011000.000000000000000,12,2010,2010,27.901477000000000,-80.529478999999995,20,289516015490000.000000000000000,5,18,22.5207996,6884
-1,34,176859578011000.000000000000000,12,2010,2009,30.410789999999999,-85.350144999999998,120,289515122490000.000000000000000,7,18,19.2999992,9760
-1,35,176859628011000.000000000000000,303,2010,2010,29.957044000000000,-82.031996000000007,230,289515364490000.000000000000000,5,297,20.2374992,8192
-1,36,176859687011000.000000000000000,72,2010,2010,26.264118000000000,-81.577500000000001,10,289515648490000.000000000000000,5,84,23.3875008,7332
-1,37,176859690011000.000000000000000,162,2010,2010,26.328544999999998,-81.533797000000007,20,289515482490000.000000000000000,5,93,23.4083004,7320
