,Modeled_Diameter,Age,Tree_Density,Temperature,Aridity,Modeled_Biomass,sd.tasb,sd.dbh
1,4.995286542,40,900,18.8341007,1.063,3591.116393,106.3087709,0.07744804
2,5.00386082,40,900,18.6417999,1.0564,3569.821278,85.58738539,0.077761695
3,4.993678337,40,900,18.6450996,1.0528,3573.258148,102.9761088,0.062834312
4,5.04394754,40,900,18.5951996,1.0219,3738.411887,102.3487267,0.075622916
5,5.315313418,40,900,18.6086006,0.9805,4204.867267,135.3275363,0.098024744
6,5.048928771,40,900,19.3022995,1.0602,3710.39953,233.9865136,0.158538975
7,5.050905898,40,900,19.0063992,1.0644,3696.163008,203.7575396,0.151115095
8,4.967984233,40,900,18.9957008,1.0704,3535.589169,173.790549,0.120999355
9,5.097210953,40,900,18.9445992,1.0345,3788.069086,207.2054774,0.141935573
10,5.060838229,40,900,18.8351994,1.0431,3744.8471,157.3996897,0.10652828
11,5.172862398,40,900,18.7861004,1.0291,3890.946465,111.7424903,0.092875898
12,5.108155782,40,900,18.7957001,1.0184,3828.116565,76.25847031,0.064796754
13,5.20048418,40,900,18.7858009,1.0054,3981.867741,240.0322913,0.137687196
14,5.209391044,40,900,18.7297993,0.9989,4025.879488,114.7074309,0.085595016
15,5.402873083,40,900,18.9526997,0.9471,4466.74411,171.3915304,0.115012541
16,5.574009339,40,900,18.9806995,0.9089,4858.951114,201.7553278,0.126617291
17,5.663040668,40,900,18.9775009,0.8889,5088.986081,258.5037655,0.13910416
18,5.811449582,40,900,19.3055992,0.8656,5444.534174,164.8760938,0.089161902
19,5.845744971,40,900,19.2866001,0.8585,5506.692256,238.239424,0.112038405
20,5.856528497,40,900,19.1306992,0.8497,5544.728121,219.3130073,0.112911273
21,5.921276554,40,900,19.155899,0.8324,5734.076876,177.5987137,0.104979817
22,5.959794228,40,900,19.2350998,0.8139,5850.819674,247.8782224,0.112740372
23,6.140545445,40,900,19.3092003,0.7899,6279.355908,210.5697627,0.137970359
24,6.000662682,40,900,19.2262001,0.8104,5911.364526,245.2221341,0.165326817
25,6.008550432,40,900,19.2733994,0.8225,5915.131794,271.8902992,0.136336012
26,5.89450087,40,900,19.3535995,0.8317,5702.926129,335.3889185,0.17791656
27,5.983112736,40,900,19.6620007,0.8273,5797.572535,259.0363616,0.156973246
28,6.056163148,40,900,19.6863995,0.8168,6073.677712,278.9418651,0.148572631
29,6.040960786,40,900,19.8377991,0.8129,6018.425608,220.2927857,0.129169889
30,5.105093277,40,900,19.3579006,1.0529,3789.212956,125.6408568,0.080677524
31,5.060848837,40,900,18.9957008,1.0527,3704.271021,104.5996139,0.065274299
32,5.162675802,40,900,19.0797005,1.031,3924.263948,137.6450671,0.086428418
33,5.233424083,40,900,19.0401001,0.9992,4062.832349,141.0108158,0.090494087
34,5.174180715,40,900,18.9909,1.0196,3954.550324,167.7149856,0.124221282
35,5.162407125,40,900,19.0216999,1.0121,3973.73483,107.6179321,0.063292283
36,5.186549175,40,900,18.9542999,1.0298,3967.037879,169.1988381,0.119327705
37,5.320760423,40,900,19.1131992,0.9845,4237.162758,186.0945545,0.120687729
38,5.523453748,40,900,19.1317005,0.9256,4729.288938,169.7041222,0.110398742
39,5.637852382,40,900,19.1816006,0.9001,5013.680496,186.6701061,0.111580002
40,5.619288698,40,900,19.2229996,0.8909,5015.755575,122.0934752,0.074019676
41,5.599988515,40,900,19.1126995,0.9084,4910.984641,113.0127209,0.089769114
42,5.737726706,40,900,19.1821003,0.8788,5231.260003,180.8287491,0.108144253
43,5.872338518,40,900,19.2600002,0.8539,5540.401657,232.2012826,0.107560064
44,5.967722168,40,900,19.3407001,0.8401,5715.457331,301.3370901,0.15005862
45,6.066117177,40,900,19.3495998,0.8105,6041.769175,236.2616159,0.112280639
46,6.025054301,40,900,19.3257008,0.8195,5938.729015,251.2672625,0.109281683
47,5.961368007,40,900,19.3864002,0.8208,5830.991854,224.9023473,0.103483295
48,6.007457274,40,900,19.8288002,0.8245,5926.398488,293.3816369,0.136082823
49,6.076134566,40,900,19.8334007,0.8189,6033.791728,268.8900933,0.127243435
50,5.121684965,40,900,19.5286007,1.0563,3828.916095,144.4725056,0.096668867
51,5.148846963,40,900,19.2644005,1.036,3901.327906,107.3223138,0.068724228
52,5.319470661,40,900,19.3227005,1.0055,4228.045967,191.5973145,0.098866627
53,5.322396688,40,900,19.3638,0.989,4241.445616,169.8358524,0.103967243
54,5.24045134,40,900,19.1947994,1.0109,4085.350212,148.4656285,0.095819147
55,5.187684525,40,900,19.1683998,1.0179,3989.227211,212.1852115,0.125436971
56,5.184382108,40,900,19.2035007,1.0203,3992.742852,121.8349744,0.066797742
57,5.269962915,40,900,19.2576008,1.0017,4135.296504,236.6572284,0.166053751
58,5.291415748,40,900,19.2348003,0.9872,4180.892521,100.8424292,0.058152043
59,5.457979939,40,900,19.1777992,0.9626,4543.405427,142.1431818,0.087428282
60,5.491831971,40,900,19.0827007,0.9623,4581.560673,150.1645926,0.080438334
61,5.538623368,40,900,19.1674004,0.9212,4803.309509,277.4878232,0.182147444
62,5.833460368,40,900,19.4337006,0.8578,5481.683837,222.9944826,0.126473829
63,6.050293713,40,900,19.6711006,0.8169,6065.823349,315.548803,0.15783226
64,5.918062269,40,900,19.5589008,0.8322,5813.873902,152.0718467,0.086108146
65,5.9298493,40,900,19.5708008,0.834,5758.857104,276.9503824,0.159293882
66,5.906558237,40,900,19.6546993,0.8305,5753.458912,178.1374811,0.116551306
67,5.964353205,40,900,19.9312,0.8248,5863.379944,228.0776393,0.136272758
68,6.178073815,40,900,20.1562004,0.7981,6366.681414,249.331721,0.113142944
69,5.30643924,40,900,19.4214001,0.9974,4226.384273,179.6803967,0.134663081
70,5.278655933,40,900,19.3663006,0.9922,4212.174418,130.4765006,0.111922687
71,5.331197681,40,900,19.3829002,0.9832,4316.331154,183.5405596,0.110659065
72,5.302472497,40,900,19.3033009,0.9846,4226.734051,142.2558463,0.083106127
73,5.461702899,40,900,19.3514996,0.9472,4602.347605,124.1664075,0.064831421
74,5.477508383,40,900,19.3943996,0.9392,4658.326173,239.0643152,0.118645635
75,5.422695853,40,900,19.5386009,0.9711,4461.284773,101.9280925,0.0600221
76,5.509228017,40,900,19.7119007,0.9588,4623.383064,231.6501034,0.136369446
77,5.693915381,40,900,19.4382992,0.9003,5103.082105,230.5082018,0.114715109
78,5.797643295,40,900,19.5063992,0.8758,5347.064231,164.114982,0.093122235
79,5.962643237,40,900,19.8446007,0.8349,5827.062496,216.5044914,0.105691893
80,5.960094275,40,900,19.8483009,0.8432,5793.80826,150.1852257,0.103271725
