field_1,Tree_Density,Maximum_DBH,Average_DBH,Observed_Biomass,LAT,LON,PLT_CN,original_plot,temperature_1,SOC_0_5_1,SOC_5_15_1,N_0_5_1,N_5_15_1,aridity_1
"1",1775.66657203,10.1,6.96962924802355,10250.9359056849,29.72,-81.78,"155770152010854","170",20.5016670227051,359,136,1575,712,7815
"2",7553.13736697,6.8,3.96998006237414,10164.8278644274,30.28,-83.53,"155770760010854","196",19.6473541259766,812,160,1720,471,8779
"3",6970.58908962,5.9,2.60253508523983,3479.3287510093,26.39,-81.44,"155767069010854","476",23.2003326416016,459,566,1035,606,7307
"4",4495.76300108,4.8,3.34066547771359,3917.06498404223,29.67,-83.19,"156127357010854","669",20.1283645629883,523,134,1813,1318,9017
"5",3770.25100023,6.4,5.18907382417046,9272.69277472445,29.33,-82.67,"156131043010854","771",20.7184371948242,756,336,2130,1546,8687
"6",1920.96117278,9.9,7.15644840234021,11256.8952040857,30.31,-84.22,"156130875010854","1027",19.690990447998,526,135,1435,502,9542
"7",5201.90758373,7.1,4.04242266862991,8227.39031311622,28.78,-80.92,"156125614010854","1070",21.6564865112305,773,737,2046,1697,7581
"8",3056.18502137,9.6,5.9702270280972,11289.6901284965,29.86,-85,"156179231010854","1766",19.8367595672607,556,211,1202,509,9528
"9",2976.80382051,8.1,3.82498564532152,4099.40748991313,30.31,-84.86,"156182920010854","1848",19.5218124389648,694,231,1315,388,9528
"10",1540.46953372,11.6,7.5621168588657,11524.1366681053,30.78,-86.81,"156186699010854","1869",18.9909172058105,736,146,580,143,10204
"11",2605.8366373,9.1,4.96548647363206,6527.52041706362,27.034163,-81.830063,"156177282010854","1984",22.7109680175781,607,520,1473,997,7046
"12",3193.84228579,8.5,3.72177256003635,4372.43174767464,27.022472,-80.193783,"156183894010854","2022",23.2219333648682,825,654,2050,1844,7794
"13",3886.41724666,5.7,4.46176004998621,6650.42675491431,30.613941,-83.002767,"156166856010854","2243",19.6084480285645,430,113,1319,234,8265
"14",751.81967939,13.3,10.8047975593123,13223.4438168271,29.33,-82,"156170398010854","2309",20.8184680938721,496,168,1933,1597,7817
"15",4448.61591525,4.2,3.06,2927.35956551521,30.692964,-82.006834,"156171242010854","2328",19.7631664276123,641,182,1495,433,8208
"16",2904.8518239,6.3,4.7614498114146,5664.08834956519,30.976757,-85.91622,"156168069010854","2642",18.9527397155762,535,153,421,113,9133
"17",2185.63102173,10.6,6.88919417709065,12027.3015120002,30.833152,-87.164974,"156174285010854","2711",19.0796661376953,640,180,782,292,10544
"18",491.48623407,17.6,14.372228961432,18798.3907956059,27.72,-81.33,"156173499010854","2801",22.3310203552246,590,465,1252,819,7012
"19",1571.03866374,8.5,6.1344958002402,6161.0513284255,28.413937,-82.461374,"20241727010478","3105",21.7558650970459,596,295,2038,1536,7661
"20",327.02061964,10.9,7.42272727272727,2145.06392938189,25.407655,-80.697138,"43855421020004","3614",24.3219890594482,1552,1479,1507,1291,7269
