observed.d_in,modeled.d_in,Age,tree density_Ha,CN,Temp,SM
0.94488,1.796894,2,1334,51.80371,19.98,284.47
1.023622047,2.199093,2,2990,51.80371,19.98,284.47
2.165354331,3.132407,3,1334,51.80371,19.98,284.47
2.007874016,3.126799,3,2990,51.80371,19.98,284.47
4.133858268,4.635799,5,1334,51.80371,19.98,284.47
3.42519685,4.672026,5,2990,51.80371,19.98,284.47
1.614173228,3.00479686,5,1392,40.86816,20.05,266.82
1.771653543,2.921216369,5,1280,40.86816,20.05,266.82
2.440944882,2.972354589,5,1648,40.86816,20.05,266.82
3.031496063,4.209830853,8,1696,40.86816,20.05,266.82
3.464566929,4.199151008,8,1728,40.86816,20.05,266.82
3.188976378,4.212262135,8,1792,40.86816,20.05,266.82
5.433070866,6.110199077,14,880,40.86816,20.05,266.82
5.787401575,6.147909823,14,1080,40.86816,20.05,266.82
6.417322835,6.119418046,14,1280,40.86816,20.05,266.82
6.417322835,6.789709917,18,1008,40.86816,20.05,266.82
6.377952756,6.747230853,18,1040,40.86816,20.05,266.82
6.57480315,6.920369666,18,784,40.86816,20.05,266.82
7.874015748,8.051163922,26,928,40.86816,20.05,266.82
6.692913386,8.128564805,26,1184,40.86816,20.05,266.82
6.732283465,8.098139607,26,1056,40.86816,20.05,266.82
7.322834646,8.865054921,34,1056,40.86816,20.05,266.82
7.007874016,8.875822327,34,928,40.86816,20.05,266.82
6.456692913,8.748729803,34,976,40.86816,20.05,266.82
8,8.197199,25,946,33.46934,20.76,267.05
