FID,Join_Count,TARGET_FID,pointid,grid_code,pointid_1,grid_cod_1,Lat,Long
0,1,0,1,10652,1,18.7250004,3447122.102789999917150,-129629.758673999996972
1,1,1,2,10691,2,18.6667004,3447122.102789999917150,-126000.473998999994365
2,1,2,3,10651,3,18.6749992,3447122.102789999917150,-123278.510492000001250
3,1,3,4,10675,4,18.6791992,3447122.102789999917150,-122371.189324000006309
4,1,4,5,10668,5,18.7124996,3446214.781620000023395,-128722.437504999994417
5,1,5,6,10691,6,18.7042007,3446214.781620000023395,-127815.116336000006413
6,1,6,7,10721,7,18.6707993,3446214.781620000023395,-126000.473998999994365
7,1,7,8,10687,8,18.6667004,3446214.781620000023395,-125093.152830000006361
8,1,8,9,10647,9,18.7332993,3446214.781620000023395,-124185.831661000003805
9,1,9,10,10602,10,18.7667007,3446214.781620000023395,-113297.977635999995982
10,1,10,11,10581,11,18.7416992,3446214.781620000023395,-111483.335298000005423
11,1,11,12,10576,12,18.7416992,3446214.781620000023395,-109668.692960999993375
12,1,12,13,10629,13,18.6833000,3446214.781620000023395,-107854.050623000002815
13,1,13,14,10623,14,18.6707993,3446214.781620000023395,-106946.729454000000260
14,1,14,15,10680,15,18.6541996,3446214.781620000023395,-105132.087117000002763
15,1,15,16,10642,16,18.6791992,3446214.781620000023395,-101502.802442000000156
16,1,16,17,10531,17,18.7542000,3446214.781620000023395,-99688.160104199996567
17,1,17,18,10634,18,18.7542000,3445307.460450000129640,-129629.758673999996972
18,1,18,19,10739,19,18.6667004,3445307.460450000129640,-126907.795167000003858
19,1,19,20,10706,20,18.6707993,3445307.460450000129640,-126000.473998999994365
20,1,20,21,10700,21,18.6749992,3445307.460450000129640,-125093.152830000006361
21,1,21,22,10645,22,18.7374992,3445307.460450000129640,-124185.831661000003805
22,1,22,23,10630,23,18.7875004,3445307.460450000129640,-118741.904647999996087
23,1,23,24,10659,24,18.7833004,3445307.460450000129640,-116927.262310999998590
24,1,24,25,10657,25,18.7583008,3445307.460450000129640,-115112.619972999993479
25,1,25,26,10568,26,18.7875004,3445307.460450000129640,-112390.656466999993427
26,1,26,27,10557,27,18.8041992,3445307.460450000129640,-111483.335298000005423
27,1,27,28,10609,28,18.7292004,3445307.460450000129640,-110576.014129000002868
28,1,28,29,10601,29,18.7416992,3445307.460450000129640,-109668.692960999993375
29,1,29,30,10665,30,18.7124996,3445307.460450000129640,-106039.408286000005319
30,1,30,31,10554,31,18.6917000,3445307.460450000129640,-101502.802442000000156
31,1,31,32,10626,32,18.7042007,3445307.460450000129640,-100595.481272999997600
32,1,32,33,10577,33,18.7667007,3445307.460450000129640,-99688.160104199996567
33,1,33,34,10512,34,18.8250008,3445307.460450000129640,-94244.233091500005685
34,1,34,35,10571,35,18.7416992,3445307.460450000129640,-86985.663741299998946
35,1,35,36,10620,36,18.6707993,3445307.460450000129640,-86078.342572499997914
36,1,36,37,10651,37,18.6625004,3445307.460450000129640,-85171.021403799997643
37,1,37,38,10701,38,18.5708008,3445307.460450000129640,-83356.379066199995577
38,1,38,39,10617,39,18.6250000,3445307.460450000129640,-81541.736728699994273
39,1,39,40,10657,40,18.6042004,3445307.460450000129640,-80634.415559899993241
40,1,40,41,10667,41,18.6333008,3445307.460450000129640,-79727.094391100006760
41,1,41,42,10716,42,18.5750008,3445307.460450000129640,-78819.773222300005727
42,1,42,43,10621,43,18.7833004,3444400.139289999846369,-129629.758673999996972
43,1,43,44,10691,44,18.7166996,3444400.139289999846369,-128722.437504999994417
44,1,44,45,10744,45,18.7082996,3444400.139289999846369,-127815.116336000006413
45,1,45,46,10700,46,18.6583004,3444400.139289999846369,-126907.795167000003858
46,1,46,47,10693,47,18.7166996,3444400.139289999846369,-126000.473998999994365
47,1,47,48,10678,48,18.7166996,3444400.139289999846369,-125093.152830000006361
48,1,48,49,10642,49,18.7250004,3444400.139289999846369,-124185.831661000003805
49,1,49,50,10583,50,18.7999992,3444400.139289999846369,-111483.335298000005423
50,1,50,51,10553,51,18.7875004,3444400.139289999846369,-110576.014129000002868
51,1,51,52,10574,52,18.7583008,3444400.139289999846369,-109668.692960999993375
52,1,52,53,10549,53,18.7999992,3444400.139289999846369,-108761.371792000005371
53,1,53,54,10650,54,18.7332993,3444400.139289999846369,-106039.408286000005319
54,1,54,55,10554,55,18.7957993,3444400.139289999846369,-101502.802442000000156
55,1,55,56,10596,56,18.7917004,3444400.139289999846369,-99688.160104199996567
56,1,56,57,10580,57,18.7917004,3444400.139289999846369,-98780.838935399995535
57,1,57,58,10504,58,18.8624992,3444400.139289999846369,-94244.233091500005685
58,1,58,59,10640,59,18.7166996,3444400.139289999846369,-87892.984910099999979
59,1,59,60,10713,60,18.6958008,3444400.139289999846369,-86985.663741299998946
60,1,60,61,10651,61,18.6833000,3444400.139289999846369,-85171.021403799997643
61,1,61,62,10685,62,18.6375008,3444400.139289999846369,-83356.379066199995577
62,1,62,63,10627,63,18.6333008,3444400.139289999846369,-80634.415559899993241
63,1,63,64,10660,64,18.6166992,3444400.139289999846369,-79727.094391100006760
64,1,64,65,10682,65,18.5625000,3444400.139289999846369,-77912.452053600005456
65,1,65,66,10638,66,18.5583000,3444400.139289999846369,-75190.488547200002358
66,1,66,67,10588,67,18.5625000,3444400.139289999846369,-74283.167378500002087
67,1,67,68,10558,68,18.5708008,3444400.139289999846369,-73375.846209700001054
68,1,68,69,10499,69,18.5667000,3444400.139289999846369,-72468.525040900000022
69,1,69,70,10533,70,18.6166992,3444400.139289999846369,-71561.203872099998989
70,1,70,71,10540,71,18.5583000,3444400.139289999846369,-70653.882703399998718
71,1,71,72,10557,72,18.5958004,3444400.139289999846369,-68839.240365799996653
72,1,72,73,10515,73,18.6042004,3444400.139289999846369,-67931.919196999995620
73,1,73,74,10562,74,18.6250000,3444400.139289999846369,-67024.598028299995349
74,1,74,75,10513,75,18.5499992,3444400.139289999846369,-66117.276859499994316
75,1,75,76,10498,76,18.5583000,3444400.139289999846369,-65209.955690700000559
76,1,76,77,10459,77,18.5874996,3444400.139289999846369,-64302.634521899999527
77,1,77,78,10692,78,18.7416992,3443492.818119999952614,-128722.437504999994417
78,1,78,79,10697,79,18.6749992,3443492.818119999952614,-127815.116336000006413
79,1,79,80,10689,80,18.6917000,3443492.818119999952614,-126907.795167000003858
80,1,80,81,10690,81,18.7332993,3443492.818119999952614,-126000.473998999994365
81,1,81,82,10652,82,18.7374992,3443492.818119999952614,-125093.152830000006361
82,1,82,83,10672,83,18.7250004,3443492.818119999952614,-123278.510492000001250
83,1,83,84,10637,84,18.7833004,3443492.818119999952614,-118741.904647999996087
84,1,84,85,10656,85,18.7583008,3443492.818119999952614,-116019.941141999996034
85,1,85,86,10664,86,18.7374992,3443492.818119999952614,-113297.977635999995982
86,1,86,87,10649,87,18.7542000,3443492.818119999952614,-112390.656466999993427
87,1,87,88,10582,88,18.7875004,3443492.818119999952614,-111483.335298000005423
88,1,88,89,10573,89,18.7833004,3443492.818119999952614,-110576.014129000002868
89,1,89,90,10554,90,18.7917004,3443492.818119999952614,-107854.050623000002815
90,1,90,91,10615,91,18.7833004,3443492.818119999952614,-106946.729454000000260
91,1,91,92,10533,92,18.8041992,3443492.818119999952614,-102410.123611000002711
92,1,92,93,10530,93,18.9417000,3443492.818119999952614,-96966.196597799993469
93,1,93,94,10552,94,18.8167000,3443492.818119999952614,-90614.948416400002316
94,1,94,95,10633,95,18.7292004,3443492.818119999952614,-89707.627247600001283
95,1,95,96,10607,96,18.7707996,3443492.818119999952614,-88800.306078900001012
96,1,96,97,10677,97,18.7000008,3443492.818119999952614,-87892.984910099999979
97,1,97,98,10723,98,18.6208000,3443492.818119999952614,-83356.379066199995577
98,1,98,99,10686,99,18.6208000,3443492.818119999952614,-82449.057897399994545
99,1,99,100,10662,100,18.6250000,3443492.818119999952614,-80634.415559899993241
100,1,100,101,10652,101,18.5958004,3443492.818119999952614,-79727.094391100006760
101,1,101,102,10638,102,18.5916996,3443492.818119999952614,-78819.773222300005727
102,1,102,103,10652,103,18.5667000,3443492.818119999952614,-77912.452053600005456
103,1,103,104,10589,104,18.5625000,3443492.818119999952614,-75190.488547200002358
104,1,104,105,10593,105,18.5832996,3443492.818119999952614,-74283.167378500002087
105,1,105,106,10527,106,18.6042004,3443492.818119999952614,-73375.846209700001054
106,1,106,107,10509,107,18.6250000,3443492.818119999952614,-72468.525040900000022
107,1,107,108,10522,108,18.6082993,3443492.818119999952614,-71561.203872099998989
108,1,108,109,10558,109,18.5457993,3443492.818119999952614,-70653.882703399998718
109,1,109,110,10538,110,18.5625000,3443492.818119999952614,-69746.561534599997685
110,1,110,111,10531,111,18.5583000,3443492.818119999952614,-68839.240365799996653
111,1,111,112,10521,112,18.5874996,3443492.818119999952614,-67931.919196999995620
112,1,112,113,10536,113,18.6124992,3443492.818119999952614,-67024.598028299995349
113,1,113,114,10518,114,18.5667000,3443492.818119999952614,-66117.276859499994316
114,1,114,115,10454,115,18.6000004,3443492.818119999952614,-64302.634521899999527
115,1,115,116,10525,116,18.5291996,3443492.818119999952614,-63395.313353199999256
116,1,116,117,10436,117,18.5874996,3443492.818119999952614,-60673.349846800003434
117,1,117,118,10446,118,18.5499992,3443492.818119999952614,-59766.028678100003162
