"","Tree_Density","Maximum_DBH","Average_DBH","Observed_Biomass","LAT","LON","PLT_CN","original_plot"
"1",1775.66657203,10.1,6.96962924802355,10250.9359056849,29.72,-81.78,155770152010854,170
"2",7553.13736697,6.8,3.96998006237414,10164.8278644274,30.28,-83.53,155770760010854,196
"3",6970.58908962,5.9,2.60253508523983,3479.3287510093,26.39,-81.44,155767069010854,476
"4",4495.76300108,4.8,3.34066547771359,3917.06498404223,29.67,-83.19,156127357010854,669
"5",3770.25100023,6.4,5.18907382417046,9272.69277472445,29.33,-82.67,156131043010854,771
"6",1920.96117278,9.9,7.15644840234021,11256.8952040857,30.31,-84.22,156130875010854,1027
"7",5201.90758373,7.1,4.04242266862991,8227.39031311622,28.78,-80.92,156125614010854,1070
"8",3056.18502137,9.6,5.9702270280972,11289.6901284965,29.86,-85,156179231010854,1766
"9",2976.80382051,8.1,3.82498564532152,4099.40748991313,30.31,-84.86,156182920010854,1848
"10",1540.46953372,11.6,7.5621168588657,11524.1366681053,30.78,-86.81,156186699010854,1869
"11",2605.8366373,9.1,4.96548647363206,6527.52041706362,27.034163,-81.830063,156177282010854,1984
"12",3193.84228579,8.5,3.72177256003635,4372.43174767464,27.022472,-80.193783,156183894010854,2022
"13",3886.41724666,5.7,4.46176004998621,6650.42675491431,30.613941,-83.002767,156166856010854,2243
"14",751.81967939,13.3,10.8047975593123,13223.4438168271,29.33,-82,156170398010854,2309
"15",4448.61591525,4.2,3.06,2927.35956551521,30.692964,-82.006834,156171242010854,2328
"16",2904.8518239,6.3,4.7614498114146,5664.08834956519,30.976757,-85.91622,156168069010854,2642
"17",2185.63102173,10.6,6.88919417709065,12027.3015120002,30.833152,-87.164974,156174285010854,2711
"18",491.48623407,17.6,14.372228961432,18798.3907956059,27.72,-81.33,156173499010854,2801
"19",1571.03866374,8.5,6.1344958002402,6161.0513284255,28.413937,-82.461374,20241727010478,3105
"20",327.02061964,10.9,7.42272727272727,2145.06392938189,25.407655,-80.697138,43855421020004,3614
