OID,PLT_CN,LAT,LON,TIME_INT,MAT_30s,aridity
-1,156176063011000.000000000000000,29.750000000000000,-82.640000000000001,18,20.4874992,8365
-1,156176123011000.000000000000000,29.500000000000000,-82.469999999999999,25,20.5291996,8313
-1,156176132011000.000000000000000,29.750000000000000,-82.280000000000001,18,20.1667004,8081
-1,156176179011000.000000000000000,29.500000000000000,-82.329999999999998,25,20.5000000,8139
-1,156176184011000.000000000000000,29.609999999999999,-82.140000000000001,25,20.3750000,7990
-1,156162473011000.000000000000000,29.670000000000002,-82.170000000000002,25,20.3250008,8035
-1,156176205011000.000000000000000,29.579999999999998,-82.109999999999999,18,20.3833008,7958
-1,156176291011000.000000000000000,30.559999999999999,-82.439999999999998,25,19.7166996,8339
-1,156176302011000.000000000000000,30.170000000000002,-82.439999999999998,25,19.9167004,8369
-1,156176317011000.000000000000000,30.190000000000001,-82.359999999999999,25,19.9083004,8359
-1,156176318011000.000000000000000,30.190000000000001,-82.390000000000001,25,19.8875008,8403
-1,156176321011000.000000000000000,30.309999999999999,-82.359999999999999,25,19.7957993,8462
-1,156176333011000.000000000000000,30.559999999999999,-82.310000000000002,25,19.7791996,8313
-1,156176334011000.000000000000000,30.530000000000001,-82.329999999999998,25,19.7749996,8328
-1,156176338011000.000000000000000,30.359999999999999,-82.329999999999998,18,19.8458004,8464
-1,156176344011000.000000000000000,30.170000000000002,-82.310000000000002,18,19.9167004,8358
-1,156176347011000.000000000000000,30.309999999999999,-82.310000000000002,25,19.7917004,8489
-1,156176348011000.000000000000000,30.280000000000001,-82.310000000000002,25,19.7999992,8469
-1,156176351011000.000000000000000,30.390000000000001,-82.310000000000002,25,19.8458004,8451
-1,156176354011000.000000000000000,30.500000000000000,-82.250000000000000,25,19.7917004,8379
-1,156176358011000.000000000000000,30.140000000000001,-82.219999999999999,25,19.9125004,8347
-1,156162654011000.000000000000000,30.420000000000002,-82.219999999999999,25,19.8666992,8387
-1,156176382011000.000000000000000,30.190000000000001,-82.109999999999999,25,19.9708004,8350
-1,156176661011000.000000000000000,29.890000000000001,-82.109999999999999,25,20.1791992,8138
-1,156177529011000.000000000000000,30.140000000000001,-82.060000000000002,25,20.0125008,8338
-1,156176677011000.000000000000000,30.079999999999998,-82.060000000000002,25,20.1000004,8230
-1,156176678011000.000000000000000,30.059999999999999,-82.060000000000002,25,20.1250000,8215
-1,156176680011000.000000000000000,29.969999999999999,-82.079999999999998,25,20.1749992,8182
-1,156176683011000.000000000000000,29.920000000000002,-82.060000000000002,25,20.2667007,8109
-1,156176686011000.000000000000000,29.809999999999999,-82.079999999999998,25,20.2625008,8007
-1,156177530011000.000000000000000,30.109999999999999,-82.030000000000001,18,20.0832996,8221
-1,156177554011000.000000000000000,30.059999999999999,-82.000000000000000,26,20.1417007,8165
-1,156177580011000.000000000000000,29.829999999999998,-81.829999999999998,26,20.2500000,7979
-1,156177583011000.000000000000000,29.890000000000001,-81.859999999999999,18,20.2707996,8001
-1,156177602011000.000000000000000,30.059999999999999,-81.810000000000002,26,20.4375000,8025
-1,156177605011000.000000000000000,30.170000000000002,-81.829999999999998,26,20.4083004,8116
-1,156177631011000.000000000000000,29.890000000000001,-81.640000000000001,18,20.5291996,7725
-1,156178218011000.000000000000000,30.059999999999999,-82.579999999999998,18,20.1707993,8327
-1,156178245011000.000000000000000,30.579999999999998,-82.609999999999999,25,19.5874996,8359
-1,156178252011000.000000000000000,30.440000000000001,-82.560000000000002,25,19.7416992,8368
-1,156178257011000.000000000000000,30.359999999999999,-82.530000000000001,18,19.7875004,8361
-1,156178258011000.000000000000000,30.309999999999999,-82.560000000000002,18,19.8083000,8447
-1,156178273011000.000000000000000,30.140000000000001,-82.469999999999999,25,19.9750004,8346
-1,156178275011000.000000000000000,30.190000000000001,-82.469999999999999,25,19.8917007,8390
-1,156178279011000.000000000000000,30.280000000000001,-82.469999999999999,25,19.8250008,8461
-1,156178534011000.000000000000000,29.579999999999998,-83.390000000000001,25,20.4041996,8947
-1,156178541011000.000000000000000,29.579999999999998,-83.329999999999998,18,20.2791996,8983
