"","PLT_CN","TPA","INVYR","MEASYEAR","LAT","LON","ELEV","CNsecondmeas","TimeInterval","remeasTPA"
"1","134677839010854",246,2009,2009,30.298842,-82.369461,150,"218218869020004",6,165
"2","134677841010854",723,2009,2009,30.533783,-82.252103,110,"218218864020004",6,555
"3","134677854010854",327,2009,2009,30.373208,-85.645587,70,"218218107020004",5,312
"4","134677860010854",423,2009,2009,30.206308,-85.439309,60,"218219313020004",5,528
"5","134677861010854",552,2009,2009,30.13866,-85.447904,40,"218218048020004",5,579
"6","134677870010854",624,2009,2008,30.142881,-82.114692,140,"218218877020004",7,786
"7","134677896010854",12,2009,2009,27.861067,-80.600896,30,"218219000020004",5,12
"8","134678001010854",24,2009,2009,29.918626,-81.786154,70,"218218333020004",5,225
"9","134678064010854",405,2009,2009,30.237656,-82.524226,150,"218219125020004",5,393
"10","134678145010854",75,2009,2008,29.545695,-83.072685,20,"218219294020004",6,189
"11","134678191010854",894,2009,2008,29.267118,-81.301171,30,"218218775020004",7,1005
"12","134678210010854",366,2009,2009,29.968183,-84.789076,30,"218218058020004",6,276
"13","134678215010854",558,2009,2009,29.784557,-84.671113,0,"218218132020004",6,492
"14","134678457010854",552,2009,2009,30.073865,-83.31094,130,"218218445020004",5,459
"15","134678467010854",255,2009,2009,30.158415,-83.295489,90,"218218844020004",6,234
"16","134678506010854",24,2009,2008,26.463679,-81.651807,30,"218219304020004",6,12
"17","134678508010854",48,2009,2008,26.642425,-81.609652,20,"218218424020004",6,48
"18","134678574010854",66,2009,2009,30.158232,-84.736622,60,"218218142020004",5,66
"19","134678577010854",66,2009,2009,30.140161,-85.017075,40,"218218022020004",5,60
"20","134678638010854",60,2009,2009,29.042864,-81.836044,70,"218218749020004",5,60
"21","134678802010854",42,2009,2009,28.421514,-81.645919,110,"218218579020004",5,498
"22","134678897010854",24,2009,2009,26.911896,-80.233362,20,"218219193020004",5,24
"23","134678969010854",186,2009,2009,27.736602,-81.612071,140,"218218259020004",5,210
"24","134678982010854",72,2009,2008,27.725235,-81.334889,90,"218218745020004",6,72
"25","134679092010854",411,2009,2009,28.526949,-82.024668,90,"218218371020004",5,423
"26","134679100010854",456,2009,2008,30.221518,-82.962715,120,"218218650020004",6,570
"27","134679147010854",423,2009,2009,29.111252,-81.215088,40,"218218534020004",5,390
"28","134679150010854",138,2009,2009,28.804165,-81.061537,10,"218219249020004",5,216
"29","134679161010854",540,2009,2009,28.961841,-81.156922,30,"218218273020004",5,534
"30","176859479010854",75,2010,2010,30.24844,-82.233093,130,"289515959489998",6,36
"31","176859483010854",318,2010,2010,30.567731,-82.378916,120,"289515947489998",6,315
"32","176859499010854",240,2010,2010,29.995211,-85.454383,10,"289515040489998",6,240
"33","176859541010854",12,2010,2010,27.901477,-80.529479,20,"289516015489998",5,18
"34","176859578010854",12,2010,2009,30.41079,-85.350145,120,"289515122489998",7,18
"35","176859628010854",303,2010,2010,29.957044,-82.031996,230,"289515364489998",5,297
"36","176859687010854",72,2010,2010,26.264118,-81.5775,10,"289515648489998",5,84
"37","176859690010854",162,2010,2010,26.328545,-81.533797,20,"289515482489998",5,93
"38","176859737010854",129,2010,2010,25.382516,-80.768006,0,"289516199489998",6,129
"39","176859786010854",567,2010,2009,29.712765,-83.287972,30,"289515544489998",6,474
"40","176859839010854",330,2010,2010,29.454171,-81.186143,20,"289515518489998",5,336
"41","176859854010854",252,2010,2010,29.907738,-84.54454,30,"289515155489998",6,165
"42","176859858010854",261,2010,2010,29.781724,-84.839391,20,"289515053489998",6,186
"43","176859881010854",6,2010,2010,29.635033,-82.740917,80,"289515770489998",5,6
"44","176859909010854",84,2010,2009,30.127169,-85.250613,40,"289515089489998",7,138
"45","176860056010854",93,2010,2009,27.727747,-80.448391,20,"289516018489998",7,111
"46","176860063010854",18,2010,2009,27.756279,-80.606558,20,"289516016489998",7,18
"47","176860087010854",615,2010,2010,30.251576,-83.926927,20,"289515496489998",5,630
"48","176860106010854",192,2010,2010,29.936876,-83.026333,110,"289515740489998",6,258
"49","176860154010854",111,2010,2009,26.728433,-81.657791,20,"289515622489998",6,129
"50","176860544010854",54,2010,2010,26.862978,-80.226781,20,"289516091489998",5,66
"51","176860612010854",120,2010,2010,28.225528,-81.660558,130,"289515285489998",5,138
"52","176860711010854",12,2010,2010,26.976192,-82.269991,10,"289515848489998",5,12
"53","176860766010854",135,2010,2010,30.134263,-83.451548,80,"289515527489998",5,147
"54","176860814010854",198,2010,2010,29.219774,-81.159859,30,"289515521489998",6,228
"55","176860817010854",294,2010,2009,30.238201,-84.519751,60,"289514953489998",6,306
"56","249673375010854",36,2011,2011,30.548102,-86.80319,80,"374861141489998",5,36
"57","249673447010854",6,2011,2011,30.190868,-85.657625,30,"374860967489998",6,6
"58","249673466010854",558,2011,2011,30.350094,-85.737042,40,"374861087489998",6,585
"59","249673484010854",156,2011,2011,30.654508,-85.221025,120,"374861096489998",5,198
"60","249673489010854",99,2011,2011,30.502684,-85.398236,200,"374861101489998",6,174
"61","249673512010854",204,2011,2011,30.50614,-85.289595,200,"374860905489998",6,1104
"62","249673546010854",342,2011,2010,29.883184,-84.751176,10,"374861028489998",7,66
"63","249673600010854",6,2011,2010,29.905883,-84.343006,10,"374861004489998",7,NA
"64","249673618010854",369,2011,2011,30.297002,-84.043101,30,"374861465489998",5,6
"65","249673619010854",300,2011,2011,30.207492,-83.937726,10,"374861466489998",5,306
"66","249673632010854",591,2011,2011,30.216548,-83.645514,50,"374861537489998",5,198
"67","249673634010854",504,2011,2011,30.21171,-83.796139,30,"374861539489998",5,486
"68","249673676010854",573,2011,2011,30.604443,-82.912796,140,"374861676489998",6,597
"69","249673717010854",822,2011,2011,29.960836,-83.012265,80,"374861704489998",6,690
"70","249673724010854",318,2011,2010,29.342185,-82.946217,20,"374861409489998",6,42
"71","249673890010854",18,2011,2010,30.266891,-81.892246,80,"374861330489998",7,42
"72","249673972010854",96,2011,2010,30.271526,-81.596616,20,"374861578489998",7,78
"73","249673987010854",1338,2011,2011,29.726061,-81.79894,90,"374861593489998",5,807
"74","249674009010854",423,2011,2010,27.637239,-82.312047,60,"374861218489998",7,318
"75","249674061010854",210,2011,2011,27.018762,-82.263467,0,"374861814489998",5,204
"76","249674067010854",306,2011,2010,30.267698,-81.444262,10,"374861941489998",7,447
"77","249674076010854",126,2011,2011,28.353047,-81.811415,120,"374861230489998",5,108
"78","249674221010854",48,2011,2011,26.93263,-81.706853,50,"374862139489998",6,129
"79","249674222010854",78,2011,2011,26.869891,-81.759364,30,"374862140489998",5,78
"80","249674224010854",12,2011,2011,26.840036,-81.886267,30,"374861792489998",6,12
"81","249674262010854",846,2011,2010,29.239795,-81.103877,20,"374861271489998",7,471
"82","249674270010854",231,2011,2010,28.787191,-80.997773,20,"374861279489998",7,249
"83","249674351010854",111,2011,2011,28.401938,-81.177486,70,"374861445489998",5,123
"84","249674359010854",42,2011,2011,26.572221,-81.575998,30,"374861453489998",6,42
"85","249674473010854",42,2011,2011,27.531817,-80.762445,30,"374862153489998",6,48
"86","249674680010854",231,2011,2011,27.001146,-80.286145,20,"374862273489998",5,162
