field_1,CN,PLT_CN,PREV_SIT_C,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,CONDID,TREE,SPCD,DIA,HT,AGEDIA,SPGRPCD,SITREE,SIBASE,SUBP,AZIMUTH,DIST,METHOD,SITREE_EST,VALIDCD,CREATED_BY,CREATED_DA,CREATED_IN,MODIFIED_B,MODIFIED_D,MODIFIED_I,CYCLE,SUBCYCLE,AGECHKCD_R,AGE_DETERM,CCLCD_RMRS,DAMAGE_AGE,SIBASE_AGE,SITETRCD_R,SITE_AGE_T,SITE_TREE_,SITREE_EQU,TREECLCD_R,TREE_ACT_R,YEAR_AGE_T,LAT,LON,AVG_TEMP(bioclim),SOC%weight(USA48)5cm,TOT_N%weight(USA48)5cm,SOC(USA48)15cm,TOT_N(USA48)15cm,AVG_SOC,AVG_TOTN,CN_RATIO(USA48),FIA_avg_soil_c,FIA_avg_soil_n,FIA_CN_RATIO,SOC(ORNL)g/m2,TOTN(ORNL)g/m2,CN_RATIO(ORNL)
1,2.05E+14,2.03E+13,NA,2002,12,1,1,11,2,1,131,14.9,65,25,2,82,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.843593,-82.541353,20.34897,36,21,16,10,26,15.5,1.677419355,NA,NA,#VALUE!,8.917019844,0.545073,16.35931305
2,2.05E+14,2.03E+13,NA,2002,12,1,1,19,1,1,121,17.5,68,47,1,66,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.599723,-82.502123,20.70206,25,21,13,7,19,14,1.357142857,NA,NA,#VALUE!,8.917019844,0.545073,16.35931305
3,2.05E+14,2.03E+13,NA,2002,12,1,1,48,1,1,611,13.8,80,32,34,94,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.827239,-82.491371,20.373,18,18,10,7,14,12.5,1.12,NA,NA,#VALUE!,8.917019844,0.545073,16.35931305
4,2.05E+14,2.03E+13,NA,2002,12,1,1,54,1,1,111,12.3,72,33,1,79,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.832683,-82.25153,20.30676,41,25,39,54,40,39.5,1.012658228,NA,NA,#VALUE!,8.051400185,0.545073,14.77123282
5,2.05E+14,2.03E+13,NA,2002,12,1,1,55,1,1,111,15.9,99,47,1,99,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.668322,-82.325962,20.30676,15,14,10,15,12.5,14.5,0.862068966,NA,NA,#VALUE!,8.917019844,0.545073,16.35931305
6,2.05E+14,2.03E+13,NA,2002,12,1,1,61,2,1,111,11.7,67,18,1,91,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.519516,-82.517789,20.70206,26,26,11,10,18.5,18,1.027777778,NA,NA,#VALUE!,8.917019844,0.545073,16.35931305
7,2.05E+14,1.37E+14,NA,2002,12,1,3,61,1,1,111,11.5,82,54,1,80,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.375134,-82.352616,19.75744,76,43,22,10,49,26.5,1.849056604,NA,NA,#VALUE!,23.9673996,0.545073,43.97099031
8,2.05E+14,1.37E+14,NA,2002,12,1,3,62,1,1,111,11.3,82,61,1,78,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.298842,-82.369461,19.78861,123,31,42,12,82.5,21.5,3.837209302,NA,NA,#VALUE!,23.9673996,0.545073,43.97099031
9,2.05E+14,1.73E+14,NA,2002,12,1,3,65,1,1,111,8.3,57,18,1,80,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.36858,-82.303194,19.82829,167,100,77,71,122,85.5,1.426900585,NA,NA,#VALUE!,23.9673996,0.545073,43.97099031
10,2.05E+14,1.73E+14,NA,2002,12,1,3,67,1,1,121,17.4,87,63,1,78,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.282271,-82.36592,19.78861,96,37,21,8,58.5,22.5,2.6,NA,NA,#VALUE!,23.9673996,0.545073,43.97099031
